episode_id,blank_id,answer,alt_answers,in_source,answer_from,evidence,hint
s0101,A,판문점,,,B,,이 편지 속 장소는 다른 자료에서 확인할 수 있습니다. 자료 B(신문)를 읽어보세요.
s0101,B,해리슨 2세,해리슨,,C,,이 인물은 사진 자료에서 확인할 수 있습니다. 자료 C(사진)의 캡션을 읽어보세요.
s0101,C,남일,,,B,,공산군 측 수석대표의 이름은 자료 B(신문)에서 확인할 수 있습니다.
s0101,D,4,사;4km;4킬로미터,,B,,각 2킬로미터씩 후퇴하면 총 폭은? 자료 B(신문)를 참고하세요.
s0102,A1,임진강,,,C,,사진 자료(C)의 캡션에서 서쪽 출발점을 확인하세요.
s0102,A2,고성,,,C,,사진 자료(C)의 캡션에서 동쪽 끝점을 확인하세요.
s0102,B,귀농선,,,D,,이 용어는 카카오톡 대화(D)에서 선생님이 언급합니다.
s0102,C,군사분계선,MDL,,A,,지식인 Q&A(A)의 답변에서 이 선의 정식 명칭을 확인하세요.
s0102,D,4,,,A,,지식인 Q&A(A)의 요약에서 DMZ의 총 폭을 확인하세요.
s0103,A,임진강,,,C,,사진 자료(C)의 캡션에서 서쪽 시작점을 확인하세요.
s0103,C,904,903.8,,A,,일기(A)에서 DMZ 면적을 확인하세요.
s0103,D,8,,,A,,일기(A)에서 DMZ에 닿아 있는 시군의 수를 세어보세요.
s0104,A,스위스,,,C,,사진 자료(C)의 캡션에서 NNSC의 구성을 확인하세요.
s0104,B,"1,000",1000,,D,,카카오톡 대화(D)에서 동현이 언급하는 인원 제한을 확인하세요.
s0104,C,중립국감독위원회,NNSC,,A,,편지(A)에서 NNSC의 한국어 명칭을 확인하세요.
s0104,D,유엔사,유엔군사령부;UNC,,B,,신문 기획보도(B)에서 DMZ 관할 담당 기관을 확인하세요.
s0105,A1,2018,,,B,,보도자료(B)의 타임라인에서 JSA 비무장화 합의 연도를 확인하세요.
s0105,A2,2023,,,B,,보도자료(B)의 타임라인에서 북한이 합의를 파기한 연도를 확인하세요.
s0105,B,유엔사,유엔사령부;UNC,,A,,편지(A)에서 JSA 경비대대의 지휘 체계를 확인하세요.
s0105,D,판문각,,,A,,편지(A)에서 탁자 건너편 북측 건물 이름을 확인하세요.
s0106,A,그뤼네스 반트,그뤼네스반트,,B,,신문 기획보도(B)에서 독일의 생태 회랑 이름을 확인하세요.
s0106,B,벤하이,,,D,,구술 인터뷰(D)에서 베트남 DMZ의 강 이름을 확인하세요.
s0106,C,22,,,B,,신문 기획보도(B)에서 베트남 DMZ 존속 기간을 확인하세요.
s0106,D,유엔평화유지군,UNFICYP,,B,,신문 기획보도(B)에서 키프로스 그린라인 관리 기관을 확인하세요.
s0201,C,네이팜탄,,,B,,환경부 보도자료(B)에서 산림을 소실시킨 폭격 무기를 확인하세요.
s0201,D,생태 통로,생태통로,,B,,환경부 보도자료(B)에서 백두대간과 연결되는 DMZ의 역할을 확인하세요.
s0202,A,시베리아,,,B,,뉴스 보도(B)에서 두루미의 번식지를 확인하세요.
s0202,B,재두루미,,,D,,구술 인터뷰(D)에서 두루미보다 더 많은 종을 확인하세요.
s0202,C1,202,,,B,,뉴스 보도(B)에서 두루미의 천연기념물 번호를 확인하세요.
s0202,C2,203,,,B,,뉴스 보도(B)에서 재두루미의 천연기념물 번호를 확인하세요.
s0202,D,학,,,A,,두루미의 일기(A)에서 두루미의 다른 이름을 확인하세요.
s0203,A,사향노루,,,B,,보고서(B)에서 천연기념물 제216호의 종명을 확인하세요.
s0203,B,반달가슴곰,,,A,,트위터(A)에서 무인카메라에 처음 포착된 동물을 확인하세요.
s0203,C,분홍장구채,,,B,,보고서(B)에서 멸종위기 II급 식물의 이름을 확인하세요.
s0203,D,수원청개구리,,,B,,보고서(B)에서 논에 사는 멸종위기 I급 양서류를 확인하세요.
s0204,A,야생생물,,,B,,환경부 보도자료(B)에서 확인된 생물의 총칭을 확인하세요.
s0204,B,곤충류,곤충,,A,,"트위터(A)에서 2,954종에 해당하는 분류군을 확인하세요."
s0204,C,포유류,,,B,,환경부 보도자료(B)에서 47종에 해당하는 분류군을 확인하세요.
s0204,D,곤충류,곤충,,B,,"환경부 보도자료(B)에서 2,954종의 분류군을 확인하세요."
s0205,A,강원생태평화,,,B,,백과사전(B)에서 강원도 접경 5개 군에 걸쳐 있는 생물권보전지역 이름을 확인하세요.
s0205,B,연천임진강,,,A,,블로그(A)에서 연천군 전역과 임진강 유역이 포함된 보전지역 이름을 확인하세요.
s0205,C,핵심구역,Core Area,,B,,백과사전(B)에서 출입이 엄격히 제한되는 구역의 이름을 확인하세요.
s0205,D,MAB,유네스코;MAB 프로그램,,B,,백과사전(B)에서 유네스코가 운영하는 프로그램 약자를 확인하세요.
s0206,A,대암산,,,B,,용늪 이모저모(B)에서 용늪이 위치한 산 이름을 확인하세요.
s0206,B,이탄층,,,A,,용늪의 독백(A)에서 죽은 이끼가 쌓여서 된 것의 이름을 확인하세요.
s0206,C,고층습원,,,A,,용늪의 독백(A)에서 용늪의 유형을 확인하세요.
s0206,D,이끼,,,B,,용늪 이모저모(B)의 이탄층 설명에서 주요 식물을 확인하세요.
s0301,A,"17,900",17900,,B,,보도자료(B)에서 출토 유물 수를 확인하세요.
s0301,B,세계문화유산,세계유산,,B,,보도자료(B)에서 2013년 등재된 명칭을 확인하세요.
s0301,C,12,,,B,,보도자료(B)에서 개성역사유적지구의 유적 수를 확인하세요.
s0301,D,금속활자,,,A,,일기(A)에서 유물 중 특별한 발견을 확인하세요.
s0302,A,신라,,,B,,신문 보도(B)에서 경순왕의 왕조를 확인하세요.
s0302,B,연천군,,,D,,카카오톡(D)에서 왕릉 소재지를 확인하세요.
s0302,C,사적,,,B,,신문 보도(B)에서 왕릉의 문화재 지정 유형을 확인하세요.
s0302,D,지뢰,,,B,,신문 보도(B)에서 왕릉 주변에 매설된 것을 확인하세요.
s0303,A,동의보감,,,B,,신문 보도(B)에서 유네스코에 등재된 의학서 이름을 확인하세요.
s0303,B,세계기록유산,,,C,,구술 인터뷰(D) 또는 사진(C)에서 유네스코 등재 유형을 확인하세요.
s0303,C,파주시,,,D,,구술 인터뷰(D)에서 해설사의 소속 지역을 확인하세요.
s0303,D,25,,,A,,일기(A) 또는 구술(D)에서 동의보감의 권수를 확인하세요.
s0304,A,병자호란,,,B,,신문 보도(B)에서 전쟁의 이름을 확인하세요.
s0304,B,홍명구,,,B,,"신문 보도(B)에서 2,000명을 이끈 장군 이름을 확인하세요."
s0304,C,매두분,,,D,,구술 인터뷰(D)에서 전골총 옆의 무덤 이름을 확인하세요.
s0304,D,DMZ,,,D,,구술 인터뷰(D)에서 접근 불가능한 이유를 확인하세요.
s0305,A,한탄강,,,B,,신문 보도(B)에서 석기 발견 장소를 확인하세요.
s0305,B,모비우스,,,A,,편지(A)에서 언급된 교수 이름을 확인하세요.
s0305,C,아슐리안,,,B,,신문 보도(B)에서 주먹도끼의 유형명을 확인하세요.
s0305,D,동아시아,,,D,,구술 인터뷰(D)에서 이 발견이 뒤집은 이론의 대상 지역을 확인하세요.
s0306,A,궁예,,,D,,구술 인터뷰(D)에서 철원성을 세운 인물을 확인하세요.
s0306,B,군사분계선,,,D,,구술 인터뷰(D)에서 철원성을 가르는 선의 이름을 확인하세요.
s0306,C,"12,306",12306,,B,,신문 보도(B)에서 외성 둘레를 확인하세요.
s0306,D,평화전망대,,,A,,일기(A)에서 역사학자가 올라간 장소를 확인하세요.
s0401,A,선전마을,,,B,,외신이 두 마을에 붙인 영어 이름의 우리말 번역은 자료 B(공식 자료)와 자료 D(구술 인터뷰)에서 확인할 수 있습니다.
s0401,B,게양대,,,C,,높이 경쟁의 핵심 구조물 이름은 자료 C(사진 자료) 캡션에서 확인할 수 있습니다.
s0401,C,평화의 마을,,,A,,북측이 기정동을 공식적으로 부르는 이름은 자료 A(블로그)와 자료 B(공식 자료)에서 확인할 수 있습니다.
s0401,D,대북방송,,,B,,남측이 확성기로 내보낸 방송의 이름은 자료 B(공식 자료)에서 확인할 수 있습니다.
s0403,A,평화리,,,B,,답사 노트의 행정구역명은 자료 B(지역 정보)와 자료 C(사진 캡션)에서 확인할 수 있습니다.
s0403,B,분계선마을,,,C,,북측이 '판문점협동농장' 외에 부르는 이름은 자료 C(사진 캡션)와 자료 D(카톡 대화)에서 확인할 수 있습니다.
s0403,C,판문점협동농장,,,B,,평화리 안 협동농장 이름은 자료 B([3] 별칭)와 자료 D(카톡 대화)에서 확인할 수 있습니다.
s0403,D,1976,1976년,,B,,기정동이 현재 모습으로 정비된 연도는 자료 B([2] 연혁)에서 확인할 수 있습니다.
s0404,A,그네,,,D,,사월 초파일 느티나무에 매고 탔던 것은 자료 D(구술 채록)에서 확인할 수 있습니다.
s0404,B,400,,,C,,한국전쟁 이전 DMZ 내 마을 수는 자료 C(사진 캡션)에서 확인할 수 있습니다.
s0404,C,두일장거리,,,A,,갈현리·두현리 사람들이 장고개를 넘어 다다르던 장터 이름은 자료 A(일기)에서 확인할 수 있습니다.
s0404,D,고향,,,A,,"""지금은 못 가지만 거기가 내 ___이야""라는 구절은 자료 A(일기)에서 교차 확인할 수 있습니다."
s0405,A,자유의 마을,,,C,,대성동의 정식 명칭은 자료 C(사진 2 — 1967년 현판)와 자료 B(공식 문서)에서 확인할 수 있습니다.
s0405,B,완충지대,,,B,,DMZ의 성격을 설명하는 표현은 자료 B(협정 원문 제1항)와 자료 A(촬영일지 5월 15일 이장 인터뷰)에서 확인할 수 있습니다.
s0405,C,유엔기,,,A,,대성동 출입 차량에 의무 부착해야 하는 표지는 자료 A(촬영일지 5월 14일)와 자료 B(유엔사 규정 제5조)에서 확인할 수 있습니다.
s0405,D,통일대교,,,A,,엄마가 어릴 적 새로 생겨 마을을 드나들게 된 다리 이름은 자료 A(촬영일지)와 자료 C(사진 1 캡션)에서 확인할 수 있습니다.
s0406,A,대성동,,,C,,일기에서 졸업생이 다닌 마을 이름은 자료 C(사진2 캡션)에서 확인할 수 있습니다.
s0406,B,유엔사,,,D,,영어 수업을 담당하는 장병 소속 기관은 자료 D(구술)에서 확인할 수 있습니다.
s0406,C,기정동,,,A,,대성동과 마주보는 북측 마을 이름은 자료 A(일기)와 자료 C(사진2 캡션)에서 확인할 수 있습니다.
s0406,D,1953,1953년,,C,,대성동 자유의 마을이 조성된 협정 연도는 자료 C(사진2 캡션)에서 확인할 수 있습니다.
s0407,A,재건촌,,,B,,민통선 마을의 시작 유형은 자료 B([2] 양구 현리 해설)에서 확인할 수 있습니다.
s0407,B,구호주택,,,A,,비문이 기록한 주택 80동의 공식 명칭은 자료 A(Day 1. 양구 현리)에서 확인할 수 있습니다.
s0407,C,전략촌,,,D,,국가가 접경 지역에 의도적으로 조성한 마을 유형의 명칭은 자료 D(공무원 인터뷰)에서 확인할 수 있습니다.
s0407,D,출입영농,,,B,,실제 거주 없이 외부 주민이 허가를 받아 농사짓는 제도는 자료 B([3] 제진리 해설)에서 확인할 수 있습니다.
s0501,A,오청성,,,D,,이 이름은 자료 D(구술 인터뷰)에서 직접 확인할 수 있습니다.
s0501,B,이수근,,,B,,이 인물의 이름은 자료 B(신문 기사)와 자료 D(구술 인터뷰)에서 확인할 수 있습니다.
s0501,C,마투조크,,,C,,이 인물의 성은 자료 C(사진 자료) 캡션과 자료 D(구술 인터뷰)에서 확인할 수 있습니다.
s0501,D,망명,,,B,,이 단어는 자료 B(신문 기사)와 자료 C(사진 자료)에서 확인할 수 있습니다.
s0502,A,개성공단,개성 공단,,B,,이 장소는 자료 B(학술 논문)와 자료 C(사진 자료)에서 확인할 수 있습니다.
s0502,B,화살머리고지,,,C,,이 고지의 이름은 자료 C(사진 자료)에서 확인할 수 있습니다.
s0502,C,도라산역,도라산,,D,,이 역의 이름은 자료 D(구술 인터뷰)와 자료 A(개성공단 직원 일기)에서 확인할 수 있습니다.
s0502,D,봉동역,봉동,,C,,이 역의 이름은 자료 C(사진 자료)와 자료 A(개성공단 직원 일기)에서 확인할 수 있습니다.
s0503,A,연평도,,,C,,자료 A 타임라인과 자료 C 사진 캡션에서 사건이 벌어진 섬 이름을 확인할 수 있습니다.
s0503,B,무공훈장,,,D,,자료 B 보도 자료와 자료 D 구술에서 전사자 전원에게 추서된 훈장 이름을 찾을 수 있습니다.
s0503,C,참수리,,,A,,자료 A와 자료 D에서 북한 경비정의 기습 사격을 받은 고속정 함명을 확인할 수 있습니다.
s0503,D,북방한계선,NLL;북방한계선(NLL),,A,,자료 A와 자료 D에서 북한 경비정이 넘어온 해상 경계선의 이름을 찾을 수 있습니다.
s0504,A,미루나무,,,A,,"양쪽 초소의 시야를 가리던 나무의 이름은 자료 B(공식 자료)와 자료 C(사진), 자료 D(녹취)에서 확인할 수 있습니다."
s0504,B,폴 버니언,,,B,,미루나무를 베기 위해 실행한 작전의 이름은 자료 A(회고 수기)와 자료 D(녹취)에서 확인할 수 있습니다.
s0504,C,돌아오지 않는 다리,,,C,,사건 직후 폐쇄된 다리의 이름은 자료 A(회고 수기)와 자료 B(공식 자료)에서 확인할 수 있습니다.
s0504,D,72,,,D,,북측이 우회로용 새 다리를 만드는 데 걸린 시간은 자료 A(회고 수기)와 자료 B(공식 자료)에서 확인할 수 있습니다.
s0505,A,국가보안법,,,A,,두 사람이 군사분계선을 넘자마자 적용된 법률 이름은 자료 C(사진 자료) 캡션 ①에서 확인할 수 있습니다.
s0505,B,제네바 합의,,,B,,1994년 1차 북핵위기를 일단락 짓는 합의의 이름은 자료 C(사진 자료) 캡션 ②에서 확인할 수 있습니다.
s0505,C,햇볕정책,,,C,,김대중 정부가 천명한 대북 정책의 이름은 자료 D(구술 인터뷰)에서 확인할 수 있습니다.
s0505,D,소떼,,,D,,트럭 짐칸에 열 마리씩 올라탄 것은 무엇인지 자료 C(사진 자료) 캡션 ②에서 확인할 수 있습니다.
s0506,A,평양냉면,,,B,,만찬 메뉴로 오른 음식의 이름은 자료 A(사무관 일기)와 자료 D(시민 인터뷰)에서 확인할 수 있습니다.
s0506,B,판문점선언,,,B,,두 정상이 서명한 합의 문서의 이름은 자료 B(사진 캡션)와 자료 C(신문 기사)에서 확인할 수 있습니다.
s0506,C,한라산,,,B,,합토 행사에 쓰인 남측 흙의 출처는 자료 A(사무관 일기)와 자료 B(사진 캡션)에서 확인할 수 있습니다.
s0506,D,싱가포르 회담,,,D,,판문점 회담 이후 이어진 역사적 회담의 이름은 자료 B(사진 캡션)와 자료 C(신문 기사)에서 확인할 수 있습니다.
s0601,A,감호,,,A,,호수 이름에 거울처럼 맑다는 뜻이 담겨 있다고 해설사가 설명합니다. 자료 B(팜플릿)와 자료 D(인터뷰)에서도 같은 호수 이름을 확인할 수 있습니다.
s0601,B,두루누비,,,B,,"사전 예약에 사용하는 누리집과 앱의 이름입니다. 자료 A(일기)와 자료 C(사진 캡션), 자료 D(인터뷰)에서도 동일하게 등장합니다."
s0601,C,구선봉,,,C,,"금강산의 마지막 봉우리 이름입니다. 자료 C(사진 캡션)가 가장 직접적인 출처이며, 자료 A(일기)와 자료 B(팜플릿)에서도 확인할 수 있습니다."
s0601,D,해금강,,,D,,"동해 쪽으로 흩어진 바위섬의 이름입니다. 자료 D(인터뷰)가 직접 출처이며, 자료 A(일기)와 자료 B(팜플릿)에서도 언급됩니다."
s0602,A,경원선,,,B,,월정리역이 속한 철도 노선 이름은 자료 B(안내문)와 자료 C(사진 캡션)에서 확인할 수 있습니다.
s0602,B,노동당사,,,B,,철원 평화관광 코스에 포함된 역사적 건물 이름은 자료 D(인터뷰)에서 확인할 수 있습니다.
s0602,C,월정리역,,,C,,이 이야기의 무대가 되는 역 이름은 자료 A(편지)와 자료 B(안내문)에서 확인할 수 있습니다.
s0602,D,DMZ 피스트레인,,,D,,매년 6월 철원 일대에서 열리는 음악 페스티벌 이름은 자료 C(사진 캡션)에서 확인할 수 있습니다.
s0603,A,임진각,,,B,,1972년 1번 국도가 끊기는 지점에 세워진 이 장소의 이름은 자료 B(뉴스 기사)와 자료 D(구술 채록)에서 확인할 수 있습니다.
s0603,B,망배단,,,A,,실향민이 북녘을 향해 절을 올리는 제단의 이름은 자료 A(방문기)와 자료 C(공식 자료)에서 확인할 수 있습니다.
s0603,C,자유의 다리,,,C,,"1953년 포로 12,773명이 남쪽으로 건너온 임진강 위의 다리 이름은 자료 B(뉴스 기사)와 자료 C(공식 자료)에서 확인할 수 있습니다."
s0603,D,망향경모제,,,D,,매년 설과 추석에 망배단에서 열리는 합동 차례의 이름은 자료 D(구술 채록)에서 확인할 수 있습니다.
s0604,A,평화의 댐,,,B,,1986년 시민 모금으로 공사를 시작한 댐의 이름은 자료 B(뉴스 기사)와 자료 D(구술 인터뷰)에서 확인할 수 있습니다.
s0604,B,접경지역,,,A,,도라전망대가 위치한 곳의 명칭은 자료 A(일기)와 자료 C(사진 자료) 캡션에서 확인할 수 있습니다.
s0604,C,도라전망대,,,C,,접경지역 서쪽 끝에 자리한 평화관광 거점의 이름은 자료 B(뉴스 기사)와 자료 D(구술 인터뷰)에서 확인할 수 있습니다.
s0604,D,펀치볼,,,D,,양구 해안면에 있는 분지형 평화관광지의 이름은 자료 A(일기)와 자료 B(뉴스 기사)에서 확인할 수 있습니다.
s0605,A,안보,,,B,,군 통제 하에서 허용된 방문 형태의 명칭은 자료 B(신문 보도)와 자료 C(사진 자료)에서 확인할 수 있습니다.
s0605,B,남침,,,B,,제3땅굴이 굴착된 군사적 목적은 자료 A(에세이)와 자료 C(사진 자료)에서 확인할 수 있습니다.
s0605,C,하나되는지구,,,C,,입구 광장에 세워진 평화 상징 조형물의 이름은 자료 B(신문 보도)와 자료 D(팟캐스트)에서 확인할 수 있습니다.
s0605,D,제3땅굴,,,D,,이 스토리의 중심 장소이자 다크투어리즘의 대표 사례로 불리는 곳의 이름은 자료 A(에세이)와 자료 B(신문 보도)에서 확인할 수 있습니다.
s0606,A,자유의 집,,,B,,견학 코스 안내와 사진 자료에서 회담장 양쪽 건물 이름을 확인할 수 있습니다.
s0606,B,판문점견학지원센터,,,C,,안내문 발행처와 카톡 대화에서 단체 신청 기관 이름을 확인할 수 있습니다.
s0606,C,통일각,,,A,,답사 노트와 카톡 대화에서 회담장 너머 북측 건물 이름을 확인할 수 있습니다.
s0606,D,이산가족,,,D,,안내문 평화의 발자국 연표와 사진 캡션에서 1985년 공식 상봉 주체를 확인할 수 있습니다.
