section,key,value
humanCentricCards,humanCentricCards.중심잡기.short,AI 시대에 자기 기준과 목표를 붙잡는 힘
humanCentricCards,humanCentricCards.융합하기.short,AI와 내 생각을 엮어 문제를 풀거나 새 결과를 만드는 힘
humanCentricCards,humanCentricCards.성찰하기.short,AI 결과와 나의 선택을 다시 확인하고 책임 있게 고치는 힘
domainCards,domainCards.자기이해.short,내 경험·관심·약점·기준을 알아차리는 힘
domainCards,domainCards.표현력.short,내 생각을 글이나 말로 풀어내는 힘
domainCards,domainCards.문해력.short,글과 자료를 직접 읽고 의미를 길어올리는 힘
domainCards,domainCards.분석력.short,정보나 문제를 비교하고 따져보는 힘
domainCards,domainCards.검토력.short,결과를 다시 확인하고 고치는 힘
domainCards,domainCards.자료판단력.short,출처·근거·신뢰도를 보고 자료를 고르는 힘
domainCards,domainCards.소통력.short,상대의 생각과 맥락을 읽고 맞추는 힘
domainCards,domainCards.협업력.short,팀 안에서 역할과 흐름을 맞추는 힘
domainCards,domainCards.학습력.short,내가 모르는 것을 찾고 공부를 설계하는 힘
domainCards,domainCards.탐색력.short,관심과 가능성을 찾아 넓히는 힘
growthCards,growthCards.회복력.short,낮은 결과에서 비어 있던 과정을 알아차리고 다시 세우는 힘
growthCards,growthCards.도전력.short,같은 시나리오를 다시 시도하며 더 나은 선택을 해보는 힘
cards,cards.검수능력.short,AI/타인 결과를 끝까지 확인하는 습관
cards,cards.자기검증.short,자기 판단을 다시 점검하는 자세
cards,cards.자기성찰.short,회기 끝마다 학습을 돌아보는 메타 시선
cards,cards.비판적 사고.short,주어진 정보를 의심하고 판단하는 시선
cards,cards.자기지식.short,자기 경험·관심을 자기 말로 정리하는 능력
cards,cards.표현력.short,자기 생각을 자기 언어로 풀어내는 힘
cards,cards.정리력.short,정보를 구조화하고 가지런히 만드는 능력
cards,cards.협업능력.short,다른 사람과 함께 일하고 말하는 기능
cards,cards.소통능력.short,다른 사람과 말로 만나고 의견을 나누는 기능
cards,cards.발표력.short,여러 사람 앞에서 자기 결로 말하는 기능
cards,cards.문해력.short,텍스트를 읽고 의미를 길어 올리는 능력
cards,cards.공감력.short,타인의 마음을 읽고 따라가는 능력
cards,cards.해석능력.short,주어진 자료에서 자기 의미를 만드는 능력
cards,cards.진로탐색.short,자기 미래의 가능성을 찾고 비교하는 시선
cards,cards.정보분석.short,자료를 비교하고 판단하는 시선
cards,cards.직업이해.short,직업 세계의 실제 결을 읽는 능력
cards,cards.학습설계.short,자기 학습을 계획하고 통제하는 능력
cards,cards.시간관리.short,시간이라는 자원을 의식적으로 쓰는 능력
cards,cards.학습전략.short,자기 학습을 효율적으로 굴리는 방법론
narrative,narrative.types.pp.label,주도형 (Aware Builder)
narrative,narrative.types.pp.text,AI 시대 학습자로서 <b>판단하는 힘과 아는것의 힘 둘 다 단단하게</b> 자랐다. 위임의 경계를 의식적으로 그으면서 자기 영역을 키운 유형. 학습 활동에서 AI 활용과 자기 판단 둘 다 능동적으로 통제했다.
narrative,narrative.types.pn.label,분별형 (Aware Light)
narrative,narrative.types.pn.text,AI 활용 판단은 단단한데 <b>아는것의 힘이 약하다</b>. AI를 잘 쓰지만 그 결과를 검증할 자기 지식이 부족할 위험. AI 의존도가 낮아도 자기 학습 깊이가 따라오지 않으면 판단하는 힘 자체가 표면적이 될 수 있다.
narrative,narrative.types.np.label,자립형 (Self-Reliant)
narrative,narrative.types.np.text,<b>자기 힘으로 풀어내면서 아는것의 힘도 자랐다</b>. 다만 AI에 맡기면 효율이 올라갈 자리에서도 혼자 갔다. 판단하는 힘을 의식적으로 쓰는 연습이 다음 단계 — AI를 안 쓰는 것이 항상 좋은 것은 아니다.
narrative,narrative.types.nn.label,출발형 (Drift)
narrative,narrative.types.nn.text,AI에 맡기는 비중이 크고 <b>아는것의 힘도 약한</b> 패턴. 학습자로서 다시 시작점에 서 있다. 위임의 경계를 의식하는 것이 첫 걸음 — AI 결과를 그대로 받지 말고 자기 판단으로 한 번 더 거르는 습관부터.
narrative,narrative.types.mid.label,탐색형 (In-Between)
narrative,narrative.types.mid.text,판단하는 힘과 아는것의 힘 모두 중간대에 머무른다. 어느 한 쪽으로 뚜렷한 패턴이 자리잡지 않은 단계. 다음 학기에는 한 회기씩 자기 선택의 이유를 의식적으로 짚어보면 <b>방향이 보일 것</b>이다.
narrative,narrative.tier1_patterns.no_data.distribution,1차 선택 데이터가 없다.
narrative,narrative.tier1_patterns.no_data.interpretation,패턴을 보기 어렵다.
narrative,narrative.tier1_patterns.balanced.pattern,균형
narrative,narrative.tier1_patterns.balanced.interpretation,상황마다 다른 길을 골랐다 — <b>유연한 판단력</b>.
narrative,narrative.tier1_patterns.A_dominant.pattern,A 우세
narrative,narrative.tier1_patterns.A_dominant.interpretation,<b>직접 처리</b> 패턴 — 자기 판단으로 시작하는 학생.
narrative,narrative.tier1_patterns.B_dominant.pattern,B 우세
narrative,narrative.tier1_patterns.B_dominant.interpretation,<b>AI 위임</b> 패턴 — AI 활용 판단을 빠르게 결정하는 스타일.
narrative,narrative.tier1_patterns.C_dominant.pattern,C 우세
narrative,narrative.tier1_patterns.C_dominant.interpretation,<b>자료 비교</b> 패턴 — 정보 검토에 시간을 들이는 신중한 학생.
narrative,narrative.tier1_patterns.mixed.pattern,혼합
narrative,narrative.tier1_patterns.mixed.interpretation,상황마다 다른 길을 골랐다 — <b>유연한 판단력</b>.
narrative,narrative.card_distribution.human_centric_dominant,인간중심 카드 {humanCentric}장 / 도메인 카드 {domain}장 — <b>자기 기준과 사고력</b>이 학기 통틀어 자랐다.
narrative,narrative.card_distribution.domain_dominant,인간중심 카드 {humanCentric}장 / 도메인 카드 {domain}장 — <b>실제 행동 역량</b>에서 깊은 카드가 쌓였다.
narrative,narrative.card_distribution.balanced,인간중심 카드 {humanCentric}장 / 도메인 카드 {domain}장 — 사고력과 행동 역량이 균형 있게 쌓였다.
narrative,narrative.card_distribution.growth_note,성장 카드 {growth}장 — 실패를 학습으로 바꾼 경험.
narrative,narrative.no_cards.title,이번 학기는 카드를 한 장도 받지 못했다.
narrative,narrative.no_cards.body,시나리오 결과에서 카드를 받을 수 있다 — 다음 학기에는 자기 선택이 어떤 카드로 이어지는지 의식해 보자.
narrative,narrative.zero_card_scenes,<b>{scenarios}</b> 회기에서는 카드를 받지 못했다 — 다시 도전하면 회복력 카드를 얻을 수 있다.
narrative,narrative.section_titles.type,학습자 패턴
narrative,narrative.section_titles.cards,역량 카드 프로필
narrative,narrative.section_titles.tier1,학생 선택 패턴
ui_messages,ui_messages.game_over.title,자원이 부족!
ui_messages,ui_messages.game_over.body,자원이 부족해서 더 이상 진행할 수 없습니다.
ui_messages,ui_messages.game_over.resources_label,현재 자원
ui_messages,ui_messages.game_over.time_label,시간
ui_messages,ui_messages.game_over.energy_label,에너지
ui_messages,ui_messages.game_over.btn_report,AI 리터러시 성장 리포트
ui_messages,ui_messages.game_over.btn_restart,처음부터 다시 시작하기
ui_messages,ui_messages.inventory.panel_title,역량 카드
ui_messages,ui_messages.inventory.tab_name,역량 카드
ui_messages,ui_messages.inventory.tab_desc,모은 카드 보기
ui_messages,ui_messages.inventory.empty,아직 획득한 카드가 없어요.<br>시나리오 끝에 카드를 받을 수 있습니다.
ui_messages,ui_messages.inventory.section_human_centric,인간중심 역량
ui_messages,ui_messages.inventory.section_domain,도메인 역량
ui_messages,ui_messages.inventory.section_growth,성장 역량
ui_messages,ui_messages.card_reward.btn_acquire,획득
ui_messages,ui_messages.card_reward.tag_format,역량 카드 획득 · {idx}/{total}
ui_messages,ui_messages.scenario_result.no_card_notice,이번엔 역량 카드를 받지 못했어요.
ui_messages,ui_messages.scenario_result.growth_card_notice,다시 도전하면 도전력 카드를 얻을 수 있어요.
ui_messages,ui_messages.scenario_result.replay_btn,이 시나리오 다시 해보기
ui_messages,ui_messages.scene_mood.received_one_or_two,이번 회기에 {cards} 카드를 얻었다.
ui_messages,ui_messages.scene_mood.received_more,이번 회기에 {cards} 외 {extra}장 카드를 얻었다.
ui_messages,ui_messages.scene_mood.not_received,이번 회기는 카드를 받지 못했다.
ui_messages,ui_messages.reset_confirm.title,학기를 처음부터 시작할까요?
ui_messages,ui_messages.reset_confirm.subtitle,지금까지 진행한 학기가 모두 사라지고 새 학생으로 다시 시작합니다.
ui_messages,ui_messages.reset_confirm.btn_cancel,계속하기
ui_messages,ui_messages.reset_confirm.btn_destructive,다시 시작
report,report.title,한 학기 활동 리포트
report,report.subtitle,자기소개 → 모둠 발표 → 어린왕자 → 진로 → 시험 공부<br>다섯 결정이 한 학생의 한 학기를 만들었다.
report,report.stat_labels.total,학기 총점
report,report.stat_labels.level,최종 레벨
report,report.stat_labels.delegation,판단하는 힘
report,report.stat_labels.knowledge,아는것의 힘
report,report.cards_section.title,한 학기 동안 모은 역량 카드 — 총 {N}장
report,report.cards_section.empty,이번 학기는 역량 카드를 받지 못했어요. 다시 도전!
report,report.cards_section.human_centric_title,인간중심 역량
report,report.cards_section.domain_title,도메인 역량
report,report.cards_section.growth_title,성장 역량
report,report.btn_restart,학기 처음부터
report,report.semester_final.title,한 학기를 모두 통과했다.
report,report.semester_final.body,다섯 결정이 누적되어 한 학생의 한 학기가 되었다.<br>처음부터 다시 시작하면 새 학생이 같은 결정을 마주한다.
growthReport,growthReport.title,AI리터러시 성장 리포트
growthReport,growthReport.intro,"이 리포트는 다섯 개의 선택 장면을 바탕으로, 학생이 AI를 어떤 방식으로 활용했는지 돌아보는 기록이다. 점수보다 중요한 것은 어떤 과정을 AI에게 맡겼고, 어떤 과정을 직접 붙잡았는지 확인하는 것이다."
growthReport,growthReport.patterns.aiHeavy,"AI를 활용해 가능성을 넓히는 선택이 많았다. 빠른 초안과 제안은 출발을 쉽게 만들었지만, 좋은 결과가 나온 장면에서는 AI가 만든 것을 그대로 쓰지 않고 자기 자료와 기준으로 다시 확인했다. 다음 단계는 AI가 도와준 부분과 자신이 책임질 부분을 더 분명히 나누는 것이다."
growthReport,growthReport.patterns.selfStart,먼저 직접 생각하고 자료를 붙잡는 선택이 많았다. 자기 경험과 기준에서 출발하는 힘이 강하게 나타났다. 다음 단계는 AI를 결과 대체자가 아니라 생각을 넓히는 보조 도구로 활용해 보는 것이다.
growthReport,growthReport.patterns.reviewStrong,결과를 그대로 넘기지 않고 다시 확인하는 선택이 많았다. AI가 만든 답을 자기 기준으로 점검하는 힘은 AI리터러시의 중요한 기반이다. 이 강점은 성찰하기 역량과 검토력으로 이어진다.
growthReport,growthReport.patterns.reviewWeak,"빠르게 결과를 얻는 선택이 많았지만, 마지막 확인이 부족한 장면도 있었다. AI가 만든 결과를 그대로 쓰기 전에 자신이 설명할 수 있는지 확인하는 과정이 필요하다. 다음 선택에서는 검토 단계를 한 번 더 깊게 가져가는 것이 좋다."
growthReport,growthReport.patterns.recoveryNeeded,"몇몇 장면에서는 결과를 빠르게 얻었지만, 배움에 필요한 과정이 비어 있었다. 이 결과는 실패라기보다 무엇을 다시 붙잡아야 하는지 알려주는 신호다. 다음에는 빠른 답보다 자신이 직접 확인한 근거를 하나 남기는 것부터 시작할 수 있다."
growthReport,growthReport.strengths.0.tag,검토
growthReport,growthReport.strengths.0.text,AI 결과를 그대로 쓰지 않고 다시 확인했다.
growthReport,growthReport.strengths.1.tag,자기자료
growthReport,growthReport.strengths.1.text,내 자료나 약점을 먼저 넣고 AI를 활용했다.
growthReport,growthReport.strengths.2.tag,설명가능
growthReport,growthReport.strengths.2.text,내가 설명할 수 있는 내용인지 확인하려 했다.
growthReport,growthReport.strengths.3.tag,근거
growthReport,growthReport.strengths.3.text,직접 읽거나 풀어본 근거를 남기려 했다.
growthReport,growthReport.strengths.4.tag,소통
growthReport,growthReport.strengths.4.text,모둠 흐름이나 상대가 이해할 수 있는지를 함께 살폈다.
growthReport,growthReport.improvements.0.tag,검토 필요
growthReport,growthReport.improvements.0.text,빠르게 만든 결과를 그대로 제출하기 전에 한 번 더 확인하기가 필요하다.
growthReport,growthReport.improvements.1.tag,위임 구분
growthReport,growthReport.improvements.1.text,AI가 만든 부분과 내가 판단한 부분을 나누는 연습이 필요하다.
growthReport,growthReport.improvements.2.tag,근거 부족
growthReport,growthReport.improvements.2.text,내가 직접 읽고 경험한 근거를 하나 이상 남기는 연습이 필요하다.
growthReport,growthReport.improvements.3.tag,설명 불가
growthReport,growthReport.improvements.3.text,그럴듯한 결과보다 내가 설명할 수 있는 결과를 만드는 연습이 필요하다.
growthReport,growthReport.pledges.0,AI가 만든 답을 그대로 제출하지 않는다.
growthReport,growthReport.pledges.1,내가 설명할 수 있는 내용인지 확인한다.
growthReport,growthReport.pledges.2,내 경험이나 자료를 먼저 넣고 도움을 받는다.
growthReport,growthReport.pledges.3,AI가 한 부분과 내가 판단한 부분을 나눈다.
growthReport,growthReport.pledges.4,빠른 결과보다 직접 확인한 근거를 하나 남긴다.
growthReport,growthReport.teacherNotes.aiHeavy,"이 학생은 AI 활용에 적극적이며, 빠른 초안 생성 경로를 자주 선택했다. 다만 좋은 결과가 나온 장면은 대부분 검토 단계가 포함된 경우였다. 다음 수업에서는 AI 결과를 설명 가능한 문장으로 바꾸는 활동을 연결하면 좋다."
growthReport,growthReport.teacherNotes.selfStart,이 학생은 직접 시작하는 선택이 많아 자기 기준을 세우는 힘이 보인다. 다음 단계에서는 AI를 활용해 생각을 확장하고 비교하는 활동을 연결하면 좋다.
growthReport,growthReport.teacherNotes.reviewStrong,이 학생은 검토 단계에서 성과가 크게 달라졌다. AI 결과를 그대로 쓰는 것과 자기 기준으로 고치는 것의 차이를 토론하게 하면 좋다.
growthReport,growthReport.teacherNotes.reviewWeak,이 학생은 빠르게 결과를 만들지만 마지막 확인 습관이 아직 약하다. AI 결과를 제출 전에 한 문장으로 요약하게 하는 연습을 연결하면 좋다.
growthReport,growthReport.teacherNotes.recoveryNeeded,"이 학생은 결과를 빠르게 얻는 경향이 있다. 한 과제에서 AI 없이 먼저 해보고, AI로 보강하는 순서를 체험하게 하면 좋다."
title_screen,title_screen.heading,"AI 리터러시, 위임의 경계!"
title_screen,title_screen.intro,"AI 시대, 무엇을 맡기고 무엇을 직접 할 것인가"
title_screen,title_screen.host_text,"딸깍하면 누구나 할 수 있는 AI 시대라고 한다.<br>누구나 할 수 있다면, 누구인가가 중요하다.<br>무엇을 AI가 해야 하고 무엇은 내가 직접 해야 하는지. 당신은 구별할 수 있을까?"
title_screen,title_screen.tutorial.0,"시나리오마다 선택지를 고른다. 각 선택은 <span class=""hl hl--c"">시간</span>과 <span class=""hl hl--p"">에너지</span>를 쓴다."
title_screen,title_screen.tutorial.1,"어떤 선택을 하느냐에 따라 결과물의 점수가 달라지고, 내가 어떤 힘을 썼는지 역량 카드로 확인할 수 있다."
title_screen,title_screen.tutorial.2,"결과물 점수에 따라 등급이 매겨지고, 받은 토큰을 <span class=""hl hl--c"">시간</span>이나 <span class=""hl hl--p"">에너지</span>에 직접 넣는다."
title_screen,title_screen.tutorial.3,"경험이 쌓이면 다음 선택의 <span class=""hl hl--c"">시간</span>·<span class=""hl hl--p"">에너지</span> 비용이 줄어든다."
title_screen,title_screen.btn_start,게임 시작
start_screen,start_screen.heading,AI 리터러시: 위임의 경계
start_screen,start_screen.subtitle,이건 AI한테 맡겨도 돼?
start_screen,start_screen.all_done_banner,AI 리터러시 시나리오를 모두 완료했습니다!
start_screen,start_screen.mark_cleared,클리어
start_screen,start_screen.mark_next,다음 추천 →
start_screen,start_screen.mark_free,자유 선택
start_screen,start_screen.btn_report,AI 리터러시 성장 리포트
start_screen,start_screen.btn_continue,이어서 진행
start_screen,start_screen.btn_next_scenario,다음 시나리오
start_screen,start_screen.btn_tutorial_again,튜토리얼 다시 보기
game_flow,game_flow.panel_labels.tier1_choice,1차 선택
game_flow,game_flow.panel_labels.tier2_choice,2차 선택
game_flow,game_flow.panel_labels.result,결과
game_flow,game_flow.panel_labels.review,검토
game_flow,game_flow.panel_labels.final,최종
game_flow,game_flow.questions.tier1,어떻게 할까?
game_flow,game_flow.questions.tier2,더 자세히 — 어떻게 할까?
game_flow,game_flow.questions.review,"제출 전, 어떻게 검토할까?"
game_flow,game_flow.buttons.tier1_advance,어떻게 할까? →
game_flow,game_flow.buttons.tier2_advance,더 자세히 — 어떻게 할까? →
game_flow,game_flow.buttons.result_advance,결과 확인하기 →
game_flow,game_flow.buttons.review_advance,검토할까? →
game_flow,game_flow.buttons.next,다음 →
game_flow,game_flow.buttons.next_scenario,다음 시나리오로 →
game_flow,game_flow.buttons.scenario_select,시나리오 선택으로
game_flow,game_flow.buttons.report,AI 리터러시 성장 리포트
game_flow,game_flow.buttons.replay,이 시나리오 다시 해보기
game_flow,game_flow.buttons.replay_grade,다시 도전하기
game_flow,game_flow.buttons.back_to_start,시작 화면 돌아가기
game_flow,game_flow.chosen_labels.tier1,1차 선택
game_flow,game_flow.chosen_labels.tier2,2차 선택
game_flow,game_flow.chosen_labels.review,검토 선택
game_flow,game_flow.result_prefix,결과 — 
game_flow,game_flow.result_meta,{summary} (이 행동의 점수 {points}점)
game_flow,game_flow.delegation_depth,위임 깊이: 
game_flow,game_flow.insufficient,자원 부족
game_flow,game_flow.semester_progress,학기 진행 {done} / {total}
game_flow,game_flow.semester_all_done, — 학기를 모두 통과했다
game_flow,game_flow.reflection_label,핵심 돌아보기
game_flow,game_flow.your_path,너의 경로
game_flow,game_flow.acquired_item,획득 아이템
game_flow,game_flow.scenario_message,이 시나리오의 메시지
cost_labels,cost_labels.time_cost,시간 비용
cost_labels,cost_labels.energy_cost,에너지 비용
cost_labels,cost_labels.discount,할인
cost_labels,cost_labels.final_time,최종 시간
cost_labels,cost_labels.final_energy,최종 에너지
hud,hud.resource_title,자원
hud,hud.time,시간
hud,hud.energy,에너지
hud,hud.competency_title,역량
hud,hud.delegation,판단하는 힘
hud,hud.knowledge,아는것의 힘
modals,modals.levelup.badge,LEVEL UP
modals,modals.levelup.token_bonus_label,자원토큰 보너스
modals,modals.levelup.btn_confirm,확인 →
modals,modals.rp_distribution.title,자원토큰 분배
modals,modals.rp_distribution.subtitle,받은 토큰을 시간과 에너지에 나눠 담으세요.
modals,modals.rp_distribution.subtitle_hint,시간과 에너지는 알아서 돌아오지 않습니다. 여기서 넣는 만큼만 충전됩니다.
modals,modals.rp_distribution.remaining_label,남은 자원토큰
modals,modals.rp_distribution.preview_empty,토큰을 시간/에너지에 분배하세요
modals,modals.rp_distribution.preview_format,→ 시간 +{time} / 에너지 +{energy} 충전
modals,modals.rp_distribution.overflow_warn,(메터 초과로 {waste} 손실)
modals,modals.rp_distribution.waste_format,"(+{alloc}, 손실 {waste})"
modals,modals.rp_distribution.btn_confirm,분배 완료 →
coupon,coupon.title,할인 적용
coupon,coupon.subtitle,이번 선택에 사용할 역량을 골라주세요:
coupon,coupon.strong_tag,강한 매칭
coupon,coupon.energy_discount_format,에너지 -{amount}
coupon,coupon.btn_confirm,적용하고 진행 →
coupon,coupon.badge_available,역량카드 할인가능 – 할인 적용하기
coupon,coupon.badge_applied_format,{card} 역량카드 효과: -{amount} 할인
recovery,recovery.title,회복력
recovery,recovery.btn_use,회복역량 사용해 시간 되돌리기
recovery,recovery.btn_use_sub,시나리오 다시 도전
recovery,recovery.btn_skip,다음 시나리오로 →
recovery,recovery.note,이번 결과를 바탕으로 다시 시도할 수 있는 회복력 카드가 생겼어요.
recovery,recovery.report_recovery,결과가 아쉬웠지만 포기하지 않았다. 다시 도전할 수 있는 힘이 생겼다.
recovery,recovery.report_challenge,같은 시나리오에 다시 도전해서 더 나은 결과를 만들었다. 실패에서 배우는 힘이다.
config_texts,config_texts.result_types.pp,AI를 동료로 쓰면서 자기 지식도 같이 키웠다. AI 리터러시의 본 모습.
config_texts,config_texts.result_types.pn,"AI를 잘 골라 썼지만, 검증할 자기 토대가 얇다. AI의 답을 비판할 힘이 모자란다."
config_texts,config_texts.result_types.np,자기 힘으로 풀어냈다. 다만 AI에 맡겨야 할 자리에서도 혼자 갔다 — 효율이 떨어졌다.
config_texts,config_texts.result_types.nn,"AI 리터러시의 출발선. 무엇을 위임하고 무엇을 익힐지, 다시 한 번."
config_texts,config_texts.result_types.mid,흔들리며 길을 찾는 중.
config_texts,config_texts.result_moods.S,"와, 이번 학기 진짜 멋졌어. AI랑 베프가 됐네."
config_texts,config_texts.result_moods.A,꽤 잘 골라 썼어. 다음엔 더 멀리 갈 수 있겠다.
config_texts,config_texts.result_moods.B,맞췄다 놓쳤다 한 학기. 다음엔 어떻게 갈까?
config_texts,config_texts.result_moods.C,좀 헷갈렸지? 뭐가 내 일이고 뭐가 AI 일인지.
config_texts,config_texts.result_moods.D,이번 학기는 그냥 흘려보냈어. 한 번 더 도전!
inventory_labels,inventory_labels.section_human_centric,인간중심 역량
inventory_labels,inventory_labels.section_domain,도메인 역량
inventory_labels,inventory_labels.section_growth,성장 역량
inventory_labels,inventory_labels.legacy_prefix,이전 버전 카드
inventory_labels,inventory_labels.track_human_centric,인간중심 역량
inventory_labels,inventory_labels.track_domain,도메인 역량
inventory_labels,inventory_labels.track_growth,성장 역량
scenario_report,scenario_report.title,활동 리포트
scenario_report,scenario_report.stat_score,최종 점수
scenario_report,scenario_report.stat_grade,등급
scenario_report,scenario_report.stat_delegation,위임 선택력
scenario_report,scenario_report.stat_knowledge,지식
final_report,final_report.title_bar,AI 리터러시 성장 리포트
final_report,final_report.subtitle,"한 학기 동안 다섯 시나리오에서 내린 선택과 그 결과를 돌아봅니다.<br>AI에게 무엇을 맡기고 무엇을 직접 했는지, 어떤 역량이 자랐는지 확인하세요."
final_report,final_report.delegation_header,판단하는 힘 — 인간중심 역량 카드
final_report,final_report.knowledge_header,아는것의 힘 — 도메인 역량 카드
final_report,final_report.no_domain_cards,이번 학기는 도메인 역량 카드를 받지 못했어요.
final_report,final_report.scenario_results_title,시나리오별 결과
final_report,final_report.growth_cards_title,성장 카드
final_report,final_report.learner_type_label,학습자 유형
