모델,분류,축/그룹,레벨,카드명,짧은설명,상세정의,상세설명,색상
새(라이브),인간중심,중심잡기,축,중심잡기,AI 시대에 자기 기준과 목표를 붙잡는 힘,,,#c62828
새(라이브),인간중심,중심잡기,태그,주체성,명확한 목표와 기준을 가지고 AI 활용을 주도하며 결과에 책임지는 힘,,,#d32f2f
새(라이브),인간중심,중심잡기,태그,적응성,새로운 AI 기술과 환경 변화를 유연하게 받아들이고 활용하는 힘,,,#e64a19
새(라이브),인간중심,중심잡기,태그,호기심,AI 답에 멈추지 않고 더 묻고 탐색하는 태도,,,#f57c00
새(라이브),인간중심,융합하기,축,융합하기,AI와 내 생각을 엮어 문제를 풀거나 새 결과를 만드는 힘,,,#1565c0
새(라이브),인간중심,융합하기,태그,창의적 사고,내 생각과 AI 도움을 엮어 새로운 결과를 만드는 힘,,,#1976d2
새(라이브),인간중심,융합하기,태그,문제해결적 사고,문제의 핵심을 파악하고 AI를 어디에 쓸지 정하는 힘,,,#0288d1
새(라이브),인간중심,융합하기,태그,직관적 통찰,경험과 지식으로 AI 정보의 핵심을 알아보는 힘,,,#0097a7
새(라이브),인간중심,융합하기,태그,통합적 사고,여러 정보와 관점을 연결해 균형 있게 정리하는 힘,,,#00796b
새(라이브),인간중심,융합하기,태그,맥락적 사고,AI 결과를 상황·목적·사람에 맞게 해석하는 힘,,,#388e3c
새(라이브),인간중심,성찰하기,축,성찰하기,AI 결과와 나의 선택을 다시 확인하고 책임 있게 고치는 힘,,,#6a1b9a
새(라이브),인간중심,성찰하기,태그,비판적 사고,AI 결과의 오류·빈틈·편향을 의심하고 따져보는 힘,,,#7b1fa2
새(라이브),인간중심,성찰하기,태그,윤리적 사고,내가 하지 않은 일을 한 것처럼 쓰지 않고 책임 있게 AI를 쓰는 힘,,,#512da8
새(라이브),인간중심,성찰하기,태그,성찰적 사고,AI를 쓴 과정과 내 선택을 되돌아보고 더 낫게 바꾸는 힘,,,#303f9f
새(라이브),인간중심,성찰하기,태그,사회·관계적 사고,AI가 낀 상황에서도 타인과 협력하고 존중하며 소통하는 힘,,,#455a64
새(라이브),도메인,도메인,카드,자기이해,내 경험·관심·약점·기준을 알아차리는 힘,,,#e64a19
새(라이브),도메인,도메인,카드,표현력,내 생각을 글이나 말로 풀어내는 힘,,,#c2185b
새(라이브),도메인,도메인,카드,문해력,글과 자료를 직접 읽고 의미를 길어올리는 힘,,,#ad1457
새(라이브),도메인,도메인,카드,분석력,정보나 문제를 비교하고 따져보는 힘,,,#6a1b9a
새(라이브),도메인,도메인,카드,검토력,결과를 다시 확인하고 고치는 힘,,,#d32f2f
새(라이브),도메인,도메인,카드,자료판단력,출처·근거·신뢰도를 보고 자료를 고르는 힘,,,#1565c0
새(라이브),도메인,도메인,카드,소통력,상대의 생각과 맥락을 읽고 맞추는 힘,,,#00838f
새(라이브),도메인,도메인,카드,협업력,팀 안에서 역할과 흐름을 맞추는 힘,,,#2e7d32
새(라이브),도메인,도메인,카드,학습력,내가 모르는 것을 찾고 공부를 설계하는 힘,,,#4527a0
새(라이브),도메인,도메인,카드,탐색력,관심과 가능성을 찾아 넓히는 힘,,,#ef6c00
새(라이브),성장,성장,카드,회복력,낮은 결과에서 비어 있던 과정을 알아차리고 다시 세우는 힘,,,#546e7a
새(라이브),성장,성장,카드,도전력,같은 시나리오를 다시 시도하며 더 나은 선택을 해보는 힘,,,#37474f
레거시(deprecated),19종,,카드,검수능력,AI/타인 결과를 끝까지 확인하는 습관,검수능력 — AI나 타인의 결과를 끝까지 확인하고 검증하는 습관,"주어진 결과를 그대로 받지 않고 한 번 더 점검한다.
AI 결과의 정확성·편향·맥락 적합성을 자기 시선으로 다시 본다.
학습자가 AI 시대에 필요한 핵심 메타 능력 중 하나.",#d32f2f
레거시(deprecated),19종,,카드,자기검증,자기 판단을 다시 점검하는 자세,자기검증 — 자기 판단을 다시 한 번 점검하는 자세,"처음 결정에 머물지 않고 한 호흡 후 같은 판단을 내려도 되는지 다시 본다.
자기 사고의 약점·편향을 스스로 찾아내는 메타인지의 핵심 자리.
AI에 의존하기 전에 자기 판단부터 검증하는 능력.",#1976d2
레거시(deprecated),19종,,카드,자기성찰,회기 끝마다 학습을 돌아보는 메타 시선,자기성찰 — 한 회기 끝에서 학습을 돌아보는 메타 시선,"한 회기 끝에서 무엇을 배웠는지, 어떤 선택이 어떻게 자랐는지 돌아본다.
학습이 단편이 아니라 누적이 되는 자리.
AI 활용의 결과를 자기 학습으로 흡수하는 다리.",#388e3c
레거시(deprecated),19종,,카드,비판적 사고,주어진 정보를 의심하고 판단하는 시선,비판적 사고 — 정보·선택지를 의심하고 검토하는 시선,"""당연히 그렇다""를 ""정말 그런가""로 다시 묻는다.
주어진 정보·선택지의 전제·편향·맥락을 검토한다.
AI 결과·인터넷 자료·타인 의견 모두에 적용되는 기본 시선.",#7b1fa2
레거시(deprecated),19종,,카드,자기지식,자기 경험·관심을 자기 말로 정리하는 능력,자기지식 — 자기 경험·관심·강점을 알고 자기 말로 정리하는 능력,"남이 아니라 자기 자신을 안다.
자기 경험·관심·강점을 자기 언어로 풀어낼 수 있다.
AI에게 맡기기 전에 먼저 자기 안에서 길어 올리는 자리.",#e64a19
레거시(deprecated),19종,,카드,표현력,자기 생각을 자기 언어로 풀어내는 힘,표현력 — 자기 생각을 자기 언어로 풀어내는 힘,"머릿속에 있는 것을 글·말로 옮긴다.
어휘·문장 구조·맥락을 자기 결로 쥔다.
AI가 다듬을 수는 있어도 처음에 무엇을 표현할지는 자기 자리.",#c2185b
레거시(deprecated),19종,,카드,정리력,정보를 구조화하고 가지런히 만드는 능력,정리력 — 흩어진 정보를 구조화하고 가지런히 만드는 능력,"흩어진 자료·생각·정보를 분류하고 우선순위를 매긴다.
읽는 사람이 한 호흡에 파악할 수 있게 가지런히 둔다.
AI 출력을 그대로 두지 않고 자기 구조로 다시 짜는 능력.",#f57c00
레거시(deprecated),19종,,카드,협업능력,다른 사람과 함께 일하고 말하는 기능,협업능력 — 다른 사람과 함께 일을 짜고 굴리는 능력,"혼자가 아니라 팀으로 결과를 낸다.
역할을 나누고 일정을 맞추고 충돌을 풀어낸다.
AI도 팀원의 한 명으로 다룰 수 있는 시선.",#0288d1
레거시(deprecated),19종,,카드,소통능력,다른 사람과 말로 만나고 의견을 나누는 기능,소통능력 — 다른 사람과 말로 만나고 의견을 나누는 능력,"자기 의견을 전달하고 상대 의견을 듣는다.
말의 결을 상대 맥락에 맞춘다.
AI와의 대화에도 같은 결이 작동한다 — 어떻게 묻고 어떻게 듣는가.",#00897b
레거시(deprecated),19종,,카드,발표력,여러 사람 앞에서 자기 결로 말하는 기능,발표력 — 여러 사람 앞에서 자기 결로 말하는 능력,"목소리·시선·구성으로 메시지를 전달한다.
청중의 호흡을 읽고 페이스를 조절한다.
AI가 슬라이드를 만들어줘도 무대 위 자기 자리는 자기 몫.",#5d4037
레거시(deprecated),19종,,카드,문해력,텍스트를 읽고 의미를 길어 올리는 능력,문해력 — 텍스트를 읽고 의미를 길어 올리는 능력,"문장의 표면이 아니라 결을 읽는다.
행간·은유·생략된 맥락을 짚는다.
AI 요약에 머물지 않고 원문을 자기 시선으로 다시 만나는 자리.",#512da8
레거시(deprecated),19종,,카드,공감력,타인의 마음을 읽고 따라가는 능력,공감력 — 타인의 마음·맥락을 따라가는 능력,"등장인물이나 상대가 무엇을 느끼는지 함께 따라간다.
자기 자리에서만 보지 않고 상대 자리에서 다시 본다.
AI가 흉내 낼 수 없는 인간의 결.",#d81b60
레거시(deprecated),19종,,카드,해석능력,주어진 자료에서 자기 의미를 만드는 능력,해석능력 — 주어진 자료에서 자기 의미를 만드는 능력,"텍스트·이미지·상황을 자기 시선으로 다시 읽는다.
""정답""을 찾는 것이 아니라 ""내가 이렇게 본다""를 만든다.
AI 해석을 참고해도 마지막 의미 형성은 자기 자리.",#455a64
레거시(deprecated),19종,,카드,진로탐색,자기 미래의 가능성을 찾고 비교하는 시선,진로탐색 — 자기 미래의 가능성을 찾고 비교하는 시선,"한 길에 갇히지 않고 여러 가능성을 살핀다.
자기 관심·강점과 외부 세계의 길을 잇는다.
AI에게 추천 받아도 결국 길을 고르는 건 자기 자리.",#00695c
레거시(deprecated),19종,,카드,정보분석,자료를 비교하고 판단하는 시선,정보분석 — 자료를 비교하고 신뢰도·맥락을 판단하는 시선,"여러 출처를 모으고 비교하고 가중치를 매긴다.
한 자료에 휩쓸리지 않고 교차 검증한다.
AI 결과도 한 자료로 두고 다른 자료와 비교하는 습관.",#303f9f
레거시(deprecated),19종,,카드,직업이해,직업 세계의 실제 결을 읽는 능력,직업이해 — 직업 세계의 실제 결·맥락을 읽는 능력,"직업의 표면 라벨이 아니라 실제 일의 결을 안다.
어떤 사람이 어떤 환경에서 무엇을 하는지를 이해한다.
AI가 만든 정형 직업 설명을 넘어 살아 있는 맥락을 보는 자리.",#bf360c
레거시(deprecated),19종,,카드,학습설계,자기 학습을 계획하고 통제하는 능력,학습설계 — 자기 학습의 목표·구조·페이스를 짜는 능력,"무엇을 어떤 순서로 어떻게 배울지 자기 손으로 짠다.
목표를 단계로 분해하고 자기 페이스에 맞춘다.
AI가 커리큘럼을 제안해도 자기 학습의 주인은 자기.",#558b2f
레거시(deprecated),19종,,카드,시간관리,시간이라는 자원을 의식적으로 쓰는 능력,시간관리 — 시간이라는 자원을 의식적으로 쓰는 능력,"마감·우선순위·페이스를 자기 손으로 쥔다.
한정된 시간 안에서 무엇에 얼마를 줄지 결정한다.
AI가 일을 빠르게 해줘도 자기 시간을 어디에 쓸지는 자기 결정.",#0097a7
레거시(deprecated),19종,,카드,학습전략,자기 학습을 효율적으로 굴리는 방법론,학습전략 — 자기 학습을 효율적으로 굴리는 방법론,"반복·요약·문제풀이·간격 학습 등 자기에게 맞는 방법을 안다.
막연한 노력이 아니라 검증된 결로 학습을 굴린다.
AI를 보조 도구로 쓰되, 학습의 핵심 메카닉은 자기 손에.",#6a1b9a
