번호,수정 대상,해소 위반,현재 상태,경로 행동 요약,아리공 가설,대안 갈래,영향·비고,피터공 판단
1,모둠 B2R2,R3a 1건,"D(48점)인데 맥락적 사고 + 표현력·검토력 카드","AI로 빠르게 → AI에게 슬라이드 문구 → 출처·어색한 것만 확인","역량카드 비움 (회복력만 유지) — D는 회복력만","","2번과 한 쌍. 두 결말의 카드가 서로 뒤바뀐 모양",
2,모둠 B2R3,"R3b 1건 + R1 1건","C(60점)인데 cardEarned 꺼져 있어 실지급 0 (카드 필드엔 맥락적 사고 + 표현력·검토력)","AI로 빠르게 → AI에게 슬라이드 문구 → 발표 흐름과 내 설명 맞물리는지 깊은 점검","cardEarned 켬 — C+깊은 검토 = 카드 (지급선 규칙)","","이 한 수정으로 R1(검토 깊은데 카드 3→0 역전)과 R3b 동시 해소",
3,시험2주전 A1R3,R1 1건,"S(97점)인데 카드 2장 — 한 단계 얕은 A1R2(A·88점)가 3장","실력 확인 → 문제 풀어 약한 단원 찾기 → 오답·남은 시간으로 우선순위 재조정","도메인에 검토력 추가 → [학습력·검토력] (R3 검토 행동의 증거, 풀 안에 있음)","","S등급이 A등급보다 카드 적던 역전 해소",
4,자기소개 B2R1,R2 1건,"델타 (+,+)인데 등급 D(55점)","AI에게 시작 도움 → AI 순서 받아 내 이야기에 맞게 바꿈 → 검토 없이 바로 제출","등급 C·점수 62로 상향. 카드는 없음 그대로 — C+검토 생략 = 무카드 지급선에 부합. 같은 경로인 진로 B2R1(C·68)·시험2주전 B2R1(C·62)과 정렬","대안: 등급 D 유지하고 델타를 (+,0)으로 낮춤","B2 행동(내 이야기에 맞게 바꿈)이 실제로 좋은 선택이라 등급 상향이 자연스러움",
5,어린왕자 C1R3,R3a 1건,"D(45점)인데 윤리적 사고 + 검토력 카드. 삼형제 점수 14→28→45","책 안 읽고 → AI에게 줄거리·초안 바로 부탁 → 장면과 감상이 이어지는지 깊은 검토","등급 C·점수 60으로 상향 + 카드 유지 (피터공 6/10 저녁: 검토를 잘 했으면 C) — 모둠 B2(30→48→60)와 같은 '깊은 검토가 D를 면하게 한다' 패턴","대안: D 유지 + 카드 제거 (회복력만 규약 고수)","상향이면 C+R3 = 카드 지급선에 정확히 부합. 검토 활동(장면 확인)이 결국 책을 들춰보는 행동이라 서사상도 성립",
6,모둠 C2R3,R3b 1건,"C(62점)인데 cardEarned 꺼져 실지급 0 (필드엔 윤리적 사고 + 소통력)","각자 따로 → 잘하는 한 사람에게 많이 맡김 → 발표 흐름 깊은 점검","cardEarned 켬 — C+깊은 검토 = 카드","","2번과 같은 게이트 꺼짐 패턴",
7,"C+검토 생략 카드 제거 4곳 — 자기소개 A3R1(자기이해)·C3R1(통합적 사고+표현력) / 어린왕자 B2R1(문해력) / 시험2주전 B3R1(문제해결적 사고+학습력)",R3b 4건,"C등급 + 검토 생략(R1)인데 카드 실지급 — 같은 조건의 다른 3곳(어린왕자 B1R1·진로 B2R1·시험2주전 B2R1)은 무카드라 4:3 혼재 상태","좋은 2차 행동 후 검토 없이 바로 제출","4곳 모두 역량카드 제거 (회복력 자동 지급은 유지) — 피터공 '마무리까지 잘해야' 원리로 무카드 쪽 통일. C 구간에서 검토가 카드를 가르는 구조가 검토의 가치를 체감시킴","대안: 자기소개 C3R1만 예외 등록 — 'AI 글을 내 글로 다시 쓴다'는 재소유 행동이라 행동 자체가 강함","B 이상은 검토 무관 카드 유지 (이미 54/54 일관, 손대지 않음)",
8,"검토 선택지 태그에 분석력 보강 (자기소개 R2·R3 / 모둠 R2·R3 / 진로 R3 / 시험2주전 R3)",R3c 분석력 10건,"좋은 결말들이 분석력 카드를 주는데 그 시나리오 검토 선택지 태그엔 분석력이 없음","검토 = 따져보고 비교하는 행동 (어색한 표현 고르기·출처 확인·오답 비교 등)","검토 선택지 discountTags에 분석력 추가 — 카드는 유지. 진로 R2·어린왕자 R2/R3엔 이미 분석력이 있어 시나리오 간 일관화이기도 함","대안: 결말 10곳의 분석력 카드를 검토력으로 교체 (단 대부분 검토력을 이미 갖고 있어 중복 발생)","주의: 태그 보강은 할인 트리거 풀에도 영향 (분석력 카드 보유 시 검토 선택지 할인 가능해짐) — 게임플레이 변화 작게 있음",
9,자기소개 B3 선택지 태그에 자기이해 추가,R3c 1건 (B3R1),"B3R1이 자기이해 카드를 주는데 B3 태그 풀엔 없음","AI 초안 + 내 메모를 섞어 글 만들기","B3 discountTags 도메인에 자기이해 추가 — '내 메모'가 자기 재료라 행동 서사와 맞음","대안: B3R1 카드에서 자기이해 제거하고 [표현력]만","",
10,모둠 C1R3 소통력 교체,R3c 1건,"소통력 카드를 주는데 경로(회의 없이 각자 → 합치기 → 흐름 점검) 태그 풀에 없음","모둠 회의 없이 각자 자료 찾아 합침 → 깊은 점검","소통력 → 검토력 교체 → [협업력·검토력] — 소통 안 한 경로에 소통력 카드는 서사도 반어적","","",
11,어린왕자 A2 선택지 태그에 표현력 추가,R3c 1건 (A2R3),"A2R3(S등급)가 표현력 카드를 주는데 A계열 태그 풀엔 표현력이 없음","책 직접 읽기 → 밑줄 친 문장·장면 중심으로 쓰기","A2 discountTags 도메인에 표현력 추가 — 독후감 쓰기 행동이라 서사와 맞음","대안: 카드를 분석력으로 교체","",
12,어린왕자 A3R1 탐색력 교체,R3c 1건,"탐색력 카드를 주는데 경로(직접 읽기 → 이해 안 되는 부분 붙들기) 태그 풀에 없음","이해되지 않는 부분을 붙들고 독후감 쓰기","탐색력 → 분석력 교체 → [문해력·분석력] — A3의 핵심 태그가 분석력","","",
13,진로 A3 선택지 태그 융합하기로 수정,R3c 축 2건 (A3R2·A3R3),"두 결말이 융합하기/창의적 사고를 주는데 A3 선택지 태그는 성찰하기","관심을 작은 실험으로 바꿔본다","A3 humanCentric을 성찰하기 → 융합하기로 수정 — '관심을 실험으로 바꾸는' 행동이 창의적 변환이라 카드가 정확하고 선택지 태그가 부정확한 케이스","대안: 카드를 성찰하기/성찰적 사고로 교체","주의: 태그 수정은 할인 트리거에 영향 (융합하기 카드 보유 시 이 선택지 할인)",
14,시험2주전 A2 계열 카드 차별화,R3c 축 3건 (A2R1·R2·R3),"세 결말 모두 융합하기/문제해결적 사고인데 A2 경로 태그 풀엔 융합하기 없음","범위표 보며 아는 단원·모르는 단원 나누기","카드를 중심잡기/주체성으로 교체 — 자기 기준으로 범위를 가르는 행동. A계열 8결말 전부 '문제해결적 사고' 복붙인 단조도 함께 해소","대안: A2 선택지 태그를 융합하기로 수정 (카드 유지)","15번과 한 쌍 — 시험2주전 카드 다양화",
15,시험2주전 A3 계열 카드 차별화,R3c 축 3건 (A3R1·R2·R3),"세 결말 모두 융합하기/문제해결적 사고인데 A3 경로 태그 풀엔 융합하기 없음","과목별 자신감과 실제 문제 풀이를 비교한다","카드를 성찰하기/성찰적 사고로 교체 — 자기 인식과 실제를 대조하는 행동이 성찰 그 자체","대안: A3 선택지 태그를 융합하기로 수정 (카드 유지)","",
16,자기소개 B1R3 성장카드,R4 1건,"growthCard가 '빈자리 발견' — 24장 모델에 없는 라벨","AI 질문에 답하며 글 만들기 → 친구에게 설명할 수 있는지 다시 보기","'회복력'으로 교체 — 엔진이 B/C/D에 회복력을 자동 지급하고 있어(03-engine.js 세션310) 데이터와 런타임이 일치하게 됨","대안: 비움 (자동 지급에 맡김)","서사적으로 살리고 싶은 라벨이면 카드 신설이 필요한데 24장 모델 확정과 충돌",
