번호,구분,시나리오,위치,수정 전,수정 후,피터공 판단
1,텍스트(보류),자기소개 글,B1R1.reportReflection,내 말에서 시작했더라도 마지막 확인이 부족하면 소개의 힘이 약해진다.,"AI 질문에 답하며 이야기는 모았지만, 확인 없이 올려서 이 글이 정말 나다운지 모른 채 끝났다.",
2,텍스트(보류),자기소개 글,C2R1.reportReflection,내 말에서 시작했더라도 마지막 확인이 부족하면 소개의 힘이 약해진다.,글은 AI가 썼고 나는 정보 몇 가지만 줬다. 확인도 없이 냈으니 내 소개라고 말하기 어렵다.,
3,텍스트(보류),자기소개 글,C3R1.reportReflection,내 말에서 시작했더라도 마지막 확인이 부족하면 소개의 힘이 약해진다.,"AI 글을 내 글로 다시 쓴 건 좋았지만, 확인 없이 내서 다시 쓴 의미가 절반만 남았다.",
4,텍스트(보류),자기소개 글,B2R1.reportReflection,내 말에서 시작했더라도 마지막 확인이 부족하면 소개의 힘이 약해진다.,순서는 AI에게 받았어도 채운 이야기는 내 것이었다. 그런데 마지막 확인을 건너뛰어 그 장점이 드러나지 못했다.,
5,텍스트(보류),자기소개 글,A3R2.reportReflection,"내 경험은 들어갔지만, 왜 그것이 나를 보여주는지 더 분명히 할 필요가 있다.","서툴러도 직접 쓴 초안이 글의 중심을 잡았다. 표현은 다듬었지만, 이 글이 나를 잘 보여주는지까지는 확인하지 못했다.",
6,텍스트(보류),자기소개 글,C2R2.replaySuggestion,다시 해본다면 그대로 진행하기 전에 이상한 부분을 표시하거나 처음부터 다시 확인해 보세요.,"다시 해본다면 어색한 표현을 고치는 데서 한 발 더 나아가, 내용이 정말 내 이야기인지까지 확인해 보세요.",
7,텍스트(보류),모둠 발표 자료,A2R1.reportReflection,"발표 모양은 빨리 만들었지만, 함께 설명할 수 있는지 확인하는 과정이 부족했다.","역할은 빠르게 나눴지만, 각자 맡은 내용이 하나의 발표로 이어지는지 확인하는 과정이 부족했다.",
8,텍스트(보류),모둠 발표 자료,A1R2.awareness,빠진 출처와 어색한 슬라이드를 고치며 모둠 질문이 더 잘 보였어요. 발표 흐름 전체는 한 번 더 맞출 수 있어요.,모둠 질문에 맞춰 모은 자료에서 빠진 출처와 어색한 부분을 고치며 질문이 더 잘 보였어요. 발표 흐름 전체는 한 번 더 맞출 수 있어요.,
9,텍스트(보류),모둠 발표 자료,A1R2.shortFeedback,빠진 출처와 어색한 슬라이드를 고치며 모둠 질문이 더 잘 보였어요.,모둠 질문에 맞춰 모은 자료의 빠진 출처와 어색한 부분을 고치며 질문이 더 잘 보였어요.,
10,등급-톤,어린왕자 독후감,A3R1.cut6Feedback,이번 결과는 부족했던 과정을 알아차리는 출발점이에요. 다시 시도하며 내 기준과 확인 과정을 세워 볼 수 있어요.,이해되지 않는 부분을 붙들고 직접 쓴 과정이 글에 힘을 줬어요. 내기 전에 한 번만 더 확인했다면 더 단단해졌을 거예요.,
11,등급-톤,어린왕자 독후감,B1R3.cut6Feedback,이번 결과는 부족했던 과정을 알아차리는 출발점이에요. 다시 시도하며 내 기준과 확인 과정을 세워 볼 수 있어요.,요약으로 길을 잡고 중요한 장면을 직접 확인한 균형이 좋았어요. 직접 읽는 부분을 조금 더 늘리면 다음 글이 더 단단해질 거예요.,
12,카드 표기,어린왕자 독후감,A2R2.reportCardSummary,[중심잡기] 주체성 · 문해력 · 표현력,[중심잡기] 주체성 · 문해력 · 검토력,
13,카드 표기(같은 결),어린왕자 독후감,A2R1.reportCardSummary,[중심잡기] 주체성 · 문해력 · 표현력,[중심잡기] 주체성 · 문해력,
14,카드 표기(같은 결),어린왕자 독후감,A2R3.reportCardSummary,[중심잡기] 주체성 · 문해력 · 표현력,[중심잡기] 주체성 · 문해력 · 표현력 · 검토력,
15,유지 판단,어린왕자 독후감,C1R1.reportReflection,"빠른 글은 생겼지만, 내가 읽고 생각한 과정이 거의 남지 않았다.",(수정 안 함 — C1 경로와 정합. C2·C3와 문구가 다른 것은 경로 특이성 반영),
16,텍스트(보류),AI 시대에 내 진로는?,A2R1.reportReflection,"추천은 빨랐지만, 내 경험과 맞는지 확인하는 과정이 부족했다.","걱정을 직접 적으며 출발한 것은 좋았지만, 그 걱정이 실제와 맞는지 확인하는 과정이 부족했다.",
17,텍스트(보류),AI 시대에 내 진로는?,A3R1.reportReflection,"추천은 빨랐지만, 내 경험과 맞는지 확인하는 과정이 부족했다.",관심을 작은 실험으로 옮긴 출발이 좋았다. 실험에서 본 것을 한 번 더 확인했다면 방향이 더 분명해졌을 것이다.,
18,텍스트(보류),AI 시대에 내 진로는?,A2R2.reportReflection,"진로 추천은 출발점이고, 내 기준으로 다시 고를 때 의미가 생긴다.","내 걱정을 적고 낯선 정보를 확인하면서, 막연한 불안이 알아볼 수 있는 질문으로 바뀌었다.",
19,텍스트(보류),AI 시대에 내 진로는?,A2R3.reportReflection,"진로 추천은 출발점이고, 내 기준으로 다시 고를 때 의미가 생긴다.",걱정을 적는 데서 출발해 내 관심과 실제 활동으로 잇는 데까지 갔다. 불안이 판단의 재료가 되었다.,
20,텍스트(보류),AI 시대에 내 진로는?,A3R2.reportReflection,"진로 추천은 출발점이고, 내 기준으로 다시 고를 때 의미가 생긴다.","작은 실험이 진로 생각을 머리 밖으로 꺼냈고, 확인을 거치며 다음에 해볼 것이 보였다.",
21,텍스트(보류),AI 시대에 내 진로는?,A3R3.reportReflection,"진로 추천은 출발점이고, 내 기준으로 다시 고를 때 의미가 생긴다.","작은 실험과 깊은 확인이 이어지면서, 진로가 고르는 것이 아니라 만들어 가는 것이 되었다.",
22,텍스트(보류),시험 2주 전 — 공부를 어떻게,A1R1.reportReflection,"AI 자료를 그대로 외우지 않고, 실제 문제 풀이로 이해를 확인했다.","직접 문제를 풀어 약점을 찾은 출발이 좋았다. 다만 계획을 점검 없이 시작해, 중간에 방향을 확인할 자리가 없었다.",
23,텍스트(보류),시험 2주 전 — 공부를 어떻게,A1R2.reportReflection,"AI 자료를 그대로 외우지 않고, 실제 문제 풀이로 이해를 확인했다.",직접 푼 문제에서 약점을 찾고 일정도 한 번 손봤다. 내 실력에서 출발한 계획이라 공부가 흔들리지 않았다.,
24,텍스트(보류),시험 2주 전 — 공부를 어떻게,A1R3.reportReflection,"AI 자료를 그대로 외우지 않고, 실제 문제 풀이로 이해를 확인했다.","문제 풀이로 약점을 찾고, 오답과 남은 시간을 기준으로 우선순위까지 다시 잡았다. 처음부터 끝까지 내 실력에서 출발한 계획이었다.",
25,텍스트(보류),시험 2주 전 — 공부를 어떻게,A2R3.reportReflection,"AI 자료를 그대로 외우지 않고, 실제 문제 풀이로 이해를 확인했다.","범위표로 아는 것과 모르는 것을 나누고, 오답 기준으로 우선순위를 다시 잡았다. 막연하던 계획이 내 약점에 맞는 계획이 되었다.",
26,텍스트(보류),시험 2주 전 — 공부를 어떻게,A3R1.reportReflection,"계획이나 요약은 생겼지만, 내 약점에 맞는지 확인하지 못했다.","자신감과 실제 풀이를 비교해 약점은 보였지만, 그것을 계획으로 옮겨 확인하는 과정이 부족했다.",
27,텍스트(보류),시험 2주 전 — 공부를 어떻게,B2R1.reportReflection,"계획이나 요약은 생겼지만, 내 약점에 맞는지 확인하지 못했다.","내 약점을 말하고 공부 순서를 받았지만, 그 순서가 실제 내 오답과 맞는지 확인하지 못했다.",
28,텍스트(보류),시험 2주 전 — 공부를 어떻게,C3R1.cartoonCaption5,깔끔한 계획이나 자료를 그대로 따르기로 했다.,"공부를 시작한 기분만 남긴 채, 확인 없이 그대로 가기로 했다.",
29,텍스트(보류),시험 2주 전 — 공부를 어떻게,C3R2.awareness,"무리한 일정이나 빠진 과목을 조금 보려 했지만, 피하고 있던 약점 확인은 아직 그대로 남았어요.","쉬운 일부터 하다 보니 무언가 빠졌다는 느낌은 들었지만, 피하고 있던 약점 확인은 아직 그대로 남았어요.",
