시나리오,경로,등급,"새 규칙(선택 시점 획득, 중복 차단 반영)",기존 finals(결말 일괄),중복 차단된 장수,차이
selfintro,A1R1,A,T1 인간중심: [중심잡기] 주체성 / T2 도메인: 자기이해,인간중심: [중심잡기] 주체성 / 도메인: 자기이해 / 도메인: 표현력,,새 규칙에만:  | finals에만: 표현력
selfintro,A1R2,A,T1 인간중심: [중심잡기] 주체성 / T2 도메인: 자기이해 / 검토 도메인: 검토력,인간중심: [중심잡기] 주체성 / 도메인: 자기이해 / 도메인: 표현력 / 도메인: 검토력,,새 규칙에만:  | finals에만: 표현력
selfintro,A1R3,S,T1 인간중심: [중심잡기] 주체성 / T2 도메인: 자기이해 / 검토 도메인: 검토력,인간중심: [중심잡기] 주체성 / 도메인: 자기이해 / 도메인: 표현력 / 도메인: 검토력,,새 규칙에만:  | finals에만: 표현력
selfintro,A2R1,B,T1 인간중심: [중심잡기] 주체성 / T2 도메인: 자기이해,인간중심: [중심잡기] 주체성 / 도메인: 자기이해 / 도메인: 표현력,,새 규칙에만:  | finals에만: 표현력
selfintro,A2R2,A,T1 인간중심: [중심잡기] 주체성 / T2 도메인: 자기이해 / 검토 도메인: 검토력,인간중심: [중심잡기] 주체성 / 도메인: 자기이해 / 도메인: 표현력 / 도메인: 검토력,,새 규칙에만:  | finals에만: 표현력
selfintro,A2R3,A,T1 인간중심: [중심잡기] 주체성 / T2 도메인: 자기이해 / 검토 도메인: 검토력,인간중심: [중심잡기] 주체성 / 도메인: 자기이해 / 도메인: 표현력 / 도메인: 검토력,,새 규칙에만:  | finals에만: 표현력
selfintro,A3R1,C,T1 인간중심: [중심잡기] 주체성 / T2 도메인: 표현력,(없음),,"새 규칙에만: [중심잡기] 주체성, 표현력 | finals에만:"
selfintro,A3R2,B,T1 인간중심: [중심잡기] 주체성 / T2 도메인: 표현력 / 검토 도메인: 검토력,인간중심: [성찰하기] 성찰적 사고 / 도메인: 자기이해 / 도메인: 표현력,,"새 규칙에만: [중심잡기] 주체성, 검토력 | finals에만: [성찰하기] 성찰적 사고, 자기이해"
selfintro,A3R3,A,T1 인간중심: [중심잡기] 주체성 / T2 도메인: 표현력 / 검토 도메인: 검토력,인간중심: [성찰하기] 성찰적 사고 / 도메인: 자기이해 / 도메인: 표현력 / 도메인: 검토력,,"새 규칙에만: [중심잡기] 주체성 | finals에만: [성찰하기] 성찰적 사고, 자기이해"
selfintro,B1R1,D,(없음),(없음),,동일
selfintro,B1R2,D,검토 도메인: 검토력,(없음),,새 규칙에만: 검토력 | finals에만:
selfintro,B1R3,C,검토 도메인: 검토력,도메인: 자기이해,,새 규칙에만: 검토력 | finals에만: 자기이해
selfintro,B2R1,C,(없음),(없음),,동일
selfintro,B2R2,C,검토 도메인: 검토력,인간중심: [융합하기] 맥락적 사고 / 도메인: 자기이해 / 도메인: 표현력,,"새 규칙에만: 검토력 | finals에만: [융합하기] 맥락적 사고, 자기이해, 표현력"
selfintro,B2R3,B,검토 도메인: 검토력,인간중심: [융합하기] 맥락적 사고 / 도메인: 자기이해 / 도메인: 표현력 / 도메인: 검토력,,"새 규칙에만:  | finals에만: [융합하기] 맥락적 사고, 자기이해, 표현력"
selfintro,B3R1,B,T2 도메인: 검토력 / T2 인간중심: [융합하기] 통합적 사고,인간중심: [융합하기] 통합적 사고 / 도메인: 자기이해 / 도메인: 표현력,,"새 규칙에만: 검토력 | finals에만: 자기이해, 표현력"
selfintro,B3R2,A,T2 도메인: 검토력 / T2 인간중심: [융합하기] 통합적 사고,인간중심: [융합하기] 직관적 통찰 / 도메인: 표현력 / 도메인: 분석력,1,"새 규칙에만: [융합하기] 통합적 사고, 검토력 | finals에만: [융합하기] 직관적 통찰, 분석력, 표현력"
selfintro,B3R3,S,T2 도메인: 검토력 / T2 인간중심: [융합하기] 통합적 사고,인간중심: [중심잡기] 적응성 / 도메인: 표현력 / 도메인: 분석력 / 도메인: 검토력,1,"새 규칙에만: [융합하기] 통합적 사고 | finals에만: [중심잡기] 적응성, 분석력, 표현력"
selfintro,C1R1,D,(없음),(없음),,동일
selfintro,C1R2,D,검토 도메인: 검토력,(없음),,새 규칙에만: 검토력 | finals에만:
selfintro,C1R3,D,검토 도메인: 검토력,(없음),,새 규칙에만: 검토력 | finals에만:
selfintro,C2R1,D,(없음),(없음),,동일
selfintro,C2R2,C,검토 도메인: 검토력,인간중심: [성찰하기] 윤리적 사고 / 도메인: 자기이해,,"새 규칙에만: 검토력 | finals에만: [성찰하기] 윤리적 사고, 자기이해"
selfintro,C2R3,C,검토 도메인: 검토력,인간중심: [성찰하기] 윤리적 사고 / 도메인: 자기이해 / 도메인: 검토력,,"새 규칙에만:  | finals에만: [성찰하기] 윤리적 사고, 자기이해"
selfintro,C3R1,C,T2 도메인: 검토력,(없음),,새 규칙에만: 검토력 | finals에만:
selfintro,C3R2,B,T2 도메인: 검토력,인간중심: [성찰하기] 비판적 사고 / 도메인: 표현력 / 도메인: 분석력,1,"새 규칙에만: 검토력 | finals에만: [성찰하기] 비판적 사고, 분석력, 표현력"
selfintro,C3R3,A,T2 도메인: 검토력,인간중심: [성찰하기] 성찰적 사고 / 도메인: 표현력 / 도메인: 분석력 / 도메인: 검토력,1,"새 규칙에만:  | finals에만: [성찰하기] 성찰적 사고, 분석력, 표현력"
groupwork,A1R1,A,T1 인간중심: [중심잡기] 적응성 / T2 도메인: 협업력 / T2 인간중심: [성찰하기] 사회·관계적 사고,인간중심: [성찰하기] 사회·관계적 사고 / 도메인: 협업력 / 도메인: 소통력,,새 규칙에만: [중심잡기] 적응성 | finals에만: 소통력
groupwork,A1R2,A,T1 인간중심: [중심잡기] 적응성 / T2 도메인: 협업력 / T2 인간중심: [성찰하기] 사회·관계적 사고 / 검토 도메인: 검토력,인간중심: [성찰하기] 사회·관계적 사고 / 도메인: 협업력 / 도메인: 소통력 / 도메인: 자료판단력,,"새 규칙에만: [중심잡기] 적응성, 검토력 | finals에만: 소통력, 자료판단력"
groupwork,A1R3,S,T1 인간중심: [중심잡기] 적응성 / T2 도메인: 협업력 / T2 인간중심: [성찰하기] 사회·관계적 사고,인간중심: [성찰하기] 사회·관계적 사고 / 도메인: 협업력 / 도메인: 소통력 / 도메인: 표현력,1,"새 규칙에만: [중심잡기] 적응성 | finals에만: 소통력, 표현력"
groupwork,A2R1,B,T1 인간중심: [중심잡기] 적응성 / T2 도메인: 협업력,인간중심: [성찰하기] 사회·관계적 사고 / 도메인: 협업력 / 도메인: 소통력,,"새 규칙에만: [중심잡기] 적응성 | finals에만: [성찰하기] 사회·관계적 사고, 소통력"
groupwork,A2R2,A,T1 인간중심: [중심잡기] 적응성 / T2 도메인: 협업력 / 검토 도메인: 검토력,인간중심: [성찰하기] 사회·관계적 사고 / 도메인: 협업력 / 도메인: 소통력,,"새 규칙에만: [중심잡기] 적응성, 검토력 | finals에만: [성찰하기] 사회·관계적 사고, 소통력"
groupwork,A2R3,A,T1 인간중심: [중심잡기] 적응성 / T2 도메인: 협업력,인간중심: [성찰하기] 사회·관계적 사고 / 도메인: 협업력 / 도메인: 소통력 / 도메인: 표현력,1,"새 규칙에만: [중심잡기] 적응성 | finals에만: [성찰하기] 사회·관계적 사고, 소통력, 표현력"
groupwork,A3R1,B,T1 인간중심: [중심잡기] 적응성 / T2 도메인: 표현력,도메인: 표현력 / 도메인: 문해력,,새 규칙에만: [중심잡기] 적응성 | finals에만: 문해력
groupwork,A3R2,A,T1 인간중심: [중심잡기] 적응성 / T2 도메인: 표현력 / 검토 도메인: 검토력,인간중심: [중심잡기] 주체성 / 도메인: 표현력 / 도메인: 자료판단력,,"새 규칙에만: [중심잡기] 적응성, 검토력 | finals에만: [중심잡기] 주체성, 자료판단력"
groupwork,A3R3,S,T1 인간중심: [중심잡기] 적응성 / T2 도메인: 표현력 / 검토 도메인: 협업력,인간중심: [중심잡기] 주체성 / 도메인: 표현력 / 도메인: 협업력 / 도메인: 검토력,,"새 규칙에만: [중심잡기] 적응성 | finals에만: [중심잡기] 주체성, 검토력"
groupwork,B1R1,D,(없음),(없음),,동일
groupwork,B1R2,D,검토 도메인: 검토력,(없음),,새 규칙에만: 검토력 | finals에만:
groupwork,B1R3,D,검토 도메인: 협업력,(없음),,새 규칙에만: 협업력 | finals에만:
groupwork,B2R1,D,(없음),(없음),,동일
groupwork,B2R2,D,검토 도메인: 검토력,(없음),,새 규칙에만: 검토력 | finals에만:
groupwork,B2R3,C,검토 도메인: 협업력,인간중심: [융합하기] 맥락적 사고 / 도메인: 표현력 / 도메인: 검토력,,"새 규칙에만: 협업력 | finals에만: [융합하기] 맥락적 사고, 검토력, 표현력"
groupwork,B3R1,B,T2 도메인: 자료판단력 / T2 인간중심: [융합하기] 통합적 사고,인간중심: [중심잡기] 적응성 / 도메인: 자료판단력,,새 규칙에만: [융합하기] 통합적 사고 | finals에만: [중심잡기] 적응성
groupwork,B3R2,A,T2 도메인: 자료판단력 / T2 인간중심: [융합하기] 통합적 사고 / 검토 도메인: 검토력,인간중심: [융합하기] 직관적 통찰 / 도메인: 자료판단력 / 도메인: 분석력,,"새 규칙에만: [융합하기] 통합적 사고, 검토력 | finals에만: [융합하기] 직관적 통찰, 분석력"
groupwork,B3R3,S,T2 도메인: 자료판단력 / T2 인간중심: [융합하기] 통합적 사고 / 검토 도메인: 협업력,인간중심: [융합하기] 통합적 사고 / 도메인: 자료판단력 / 도메인: 협업력 / 도메인: 분석력,,새 규칙에만:  | finals에만: 분석력
groupwork,C1R1,D,(없음),(없음),,동일
groupwork,C1R2,D,검토 도메인: 검토력,(없음),,새 규칙에만: 검토력 | finals에만:
groupwork,C1R3,C,검토 도메인: 협업력,인간중심: [성찰하기] 성찰적 사고 / 도메인: 협업력 / 도메인: 검토력,,"새 규칙에만:  | finals에만: [성찰하기] 성찰적 사고, 검토력"
groupwork,C2R1,D,(없음),(없음),,동일
groupwork,C2R2,D,검토 도메인: 검토력,(없음),,새 규칙에만: 검토력 | finals에만:
groupwork,C2R3,C,검토 도메인: 협업력,인간중심: [성찰하기] 윤리적 사고 / 도메인: 소통력,,"새 규칙에만: 협업력 | finals에만: [성찰하기] 윤리적 사고, 소통력"
groupwork,C3R1,D,(없음),(없음),,동일
groupwork,C3R2,D,검토 도메인: 검토력,(없음),,새 규칙에만: 검토력 | finals에만:
groupwork,C3R3,C,검토 도메인: 협업력,인간중심: [성찰하기] 비판적 사고 / 도메인: 자료판단력 / 도메인: 분석력,,"새 규칙에만: 협업력 | finals에만: [성찰하기] 비판적 사고, 분석력, 자료판단력"
eorinwangja,A1R1,A,T1 인간중심: [중심잡기] 호기심 / T2 도메인: 문해력,인간중심: [중심잡기] 주체성 / 도메인: 문해력 / 도메인: 표현력,,"새 규칙에만: [중심잡기] 호기심 | finals에만: [중심잡기] 주체성, 표현력"
eorinwangja,A1R2,A,T1 인간중심: [중심잡기] 호기심 / T2 도메인: 문해력 / 검토 도메인: 자료판단력,인간중심: [중심잡기] 주체성 / 도메인: 문해력 / 도메인: 표현력 / 도메인: 검토력,,"새 규칙에만: [중심잡기] 호기심, 자료판단력 | finals에만: [중심잡기] 주체성, 검토력, 표현력"
eorinwangja,A1R3,S,T1 인간중심: [중심잡기] 호기심 / T2 도메인: 문해력 / 검토 도메인: 검토력,인간중심: [중심잡기] 주체성 / 도메인: 문해력 / 도메인: 표현력 / 도메인: 검토력,,"새 규칙에만: [중심잡기] 호기심 | finals에만: [중심잡기] 주체성, 표현력"
eorinwangja,A2R1,A,T1 인간중심: [중심잡기] 호기심 / T2 도메인: 문해력,인간중심: [중심잡기] 주체성 / 도메인: 문해력,,새 규칙에만: [중심잡기] 호기심 | finals에만: [중심잡기] 주체성
eorinwangja,A2R2,A,T1 인간중심: [중심잡기] 호기심 / T2 도메인: 문해력 / 검토 도메인: 자료판단력,인간중심: [중심잡기] 주체성 / 도메인: 문해력 / 도메인: 검토력,,"새 규칙에만: [중심잡기] 호기심, 자료판단력 | finals에만: [중심잡기] 주체성, 검토력"
eorinwangja,A2R3,S,T1 인간중심: [중심잡기] 호기심 / T2 도메인: 문해력 / 검토 도메인: 검토력,인간중심: [중심잡기] 주체성 / 도메인: 문해력 / 도메인: 표현력 / 도메인: 검토력,,"새 규칙에만: [중심잡기] 호기심 | finals에만: [중심잡기] 주체성, 표현력"
eorinwangja,A3R1,B,T1 인간중심: [중심잡기] 호기심 / T2 도메인: 분석력,도메인: 문해력 / 도메인: 분석력,,새 규칙에만: [중심잡기] 호기심 | finals에만: 문해력
eorinwangja,A3R2,A,T1 인간중심: [중심잡기] 호기심 / T2 도메인: 분석력 / 검토 도메인: 자료판단력,인간중심: [중심잡기] 호기심 / 도메인: 문해력,,"새 규칙에만: 분석력, 자료판단력 | finals에만: 문해력"
eorinwangja,A3R3,S,T1 인간중심: [중심잡기] 호기심 / T2 도메인: 분석력 / 검토 도메인: 검토력,인간중심: [중심잡기] 호기심 / 도메인: 문해력 / 도메인: 검토력,,새 규칙에만: 분석력 | finals에만: 문해력
eorinwangja,B1R1,C,(없음),(없음),,동일
eorinwangja,B1R2,C,검토 도메인: 자료판단력,도메인: 문해력,,새 규칙에만: 자료판단력 | finals에만: 문해력
eorinwangja,B1R3,B,검토 도메인: 검토력,인간중심: [중심잡기] 호기심 / 도메인: 문해력 / 도메인: 검토력,,"새 규칙에만:  | finals에만: [중심잡기] 호기심, 문해력"
eorinwangja,B2R1,C,(없음),(없음),,동일
eorinwangja,B2R2,B,검토 도메인: 자료판단력,인간중심: [융합하기] 맥락적 사고 / 도메인: 문해력,,"새 규칙에만: 자료판단력 | finals에만: [융합하기] 맥락적 사고, 문해력"
eorinwangja,B2R3,A,검토 도메인: 검토력,인간중심: [융합하기] 맥락적 사고 / 도메인: 문해력 / 도메인: 검토력,,"새 규칙에만:  | finals에만: [융합하기] 맥락적 사고, 문해력"
eorinwangja,B3R1,B,T2 도메인: 탐색력 / T2 인간중심: [융합하기] 맥락적 사고,인간중심: [중심잡기] 호기심 / 도메인: 문해력 / 도메인: 탐색력,,"새 규칙에만: [융합하기] 맥락적 사고 | finals에만: [중심잡기] 호기심, 문해력"
eorinwangja,B3R2,A,T2 도메인: 탐색력 / T2 인간중심: [융합하기] 맥락적 사고 / 검토 도메인: 자료판단력,인간중심: [융합하기] 직관적 통찰 / 도메인: 문해력 / 도메인: 분석력,,"새 규칙에만: [융합하기] 맥락적 사고, 자료판단력, 탐색력 | finals에만: [융합하기] 직관적 통찰, 문해력, 분석력"
eorinwangja,B3R3,S,T2 도메인: 탐색력 / T2 인간중심: [융합하기] 맥락적 사고 / 검토 도메인: 검토력,인간중심: [융합하기] 통합적 사고 / 도메인: 문해력 / 도메인: 분석력 / 도메인: 검토력,,"새 규칙에만: [융합하기] 맥락적 사고, 탐색력 | finals에만: [융합하기] 통합적 사고, 문해력, 분석력"
eorinwangja,C1R1,D,(없음),(없음),,동일
eorinwangja,C1R2,D,검토 도메인: 자료판단력,(없음),,새 규칙에만: 자료판단력 | finals에만:
eorinwangja,C1R3,C,검토 도메인: 검토력,인간중심: [성찰하기] 윤리적 사고 / 도메인: 검토력,,새 규칙에만:  | finals에만: [성찰하기] 윤리적 사고
eorinwangja,C2R1,D,(없음),(없음),,동일
eorinwangja,C2R2,D,검토 도메인: 자료판단력,(없음),,새 규칙에만: 자료판단력 | finals에만:
eorinwangja,C2R3,D,검토 도메인: 검토력,(없음),,새 규칙에만: 검토력 | finals에만:
eorinwangja,C3R1,D,T2 도메인: 검토력,(없음),,새 규칙에만: 검토력 | finals에만:
eorinwangja,C3R2,D,T2 도메인: 검토력 / 검토 도메인: 자료판단력,(없음),,"새 규칙에만: 검토력, 자료판단력 | finals에만:"
eorinwangja,C3R3,D,T2 도메인: 검토력,(없음),1,새 규칙에만: 검토력 | finals에만:
career,A1R1,B,T1 인간중심: [중심잡기] 호기심 / T2 도메인: 자기이해,인간중심: [중심잡기] 주체성 / 도메인: 탐색력 / 도메인: 자기이해,,"새 규칙에만: [중심잡기] 호기심 | finals에만: [중심잡기] 주체성, 탐색력"
career,A1R2,A,T1 인간중심: [중심잡기] 호기심 / T2 도메인: 자기이해 / 검토 도메인: 자료판단력,인간중심: [중심잡기] 주체성 / 도메인: 탐색력 / 도메인: 자기이해 / 도메인: 자료판단력,,"새 규칙에만: [중심잡기] 호기심 | finals에만: [중심잡기] 주체성, 탐색력"
career,A1R3,S,T1 인간중심: [중심잡기] 호기심 / T2 도메인: 자기이해 / 검토 도메인: 검토력,인간중심: [중심잡기] 주체성 / 도메인: 탐색력 / 도메인: 자기이해 / 도메인: 분석력,,"새 규칙에만: [중심잡기] 호기심, 검토력 | finals에만: [중심잡기] 주체성, 분석력, 탐색력"
career,A2R1,B,T1 인간중심: [중심잡기] 호기심 / T2 도메인: 자기이해,인간중심: [중심잡기] 주체성 / 도메인: 자기이해,,새 규칙에만: [중심잡기] 호기심 | finals에만: [중심잡기] 주체성
career,A2R2,A,T1 인간중심: [중심잡기] 호기심 / T2 도메인: 자기이해 / 검토 도메인: 자료판단력,인간중심: [중심잡기] 주체성 / 도메인: 자기이해 / 도메인: 탐색력,,"새 규칙에만: [중심잡기] 호기심, 자료판단력 | finals에만: [중심잡기] 주체성, 탐색력"
career,A2R3,A,T1 인간중심: [중심잡기] 호기심 / T2 도메인: 자기이해 / 검토 도메인: 검토력,인간중심: [중심잡기] 주체성 / 도메인: 자기이해 / 도메인: 분석력,,"새 규칙에만: [중심잡기] 호기심, 검토력 | finals에만: [중심잡기] 주체성, 분석력"
career,A3R1,A,T1 인간중심: [중심잡기] 호기심 / T2 도메인: 탐색력,인간중심: [중심잡기] 적응성 / 도메인: 탐색력,,새 규칙에만: [중심잡기] 호기심 | finals에만: [중심잡기] 적응성
career,A3R2,A,T1 인간중심: [중심잡기] 호기심 / T2 도메인: 탐색력 / 검토 도메인: 자료판단력,인간중심: [융합하기] 창의적 사고 / 도메인: 탐색력 / 도메인: 분석력,,"새 규칙에만: [중심잡기] 호기심, 자료판단력 | finals에만: [융합하기] 창의적 사고, 분석력"
career,A3R3,S,T1 인간중심: [중심잡기] 호기심 / T2 도메인: 탐색력 / 검토 도메인: 검토력,인간중심: [융합하기] 창의적 사고 / 도메인: 탐색력 / 도메인: 분석력,,"새 규칙에만: [중심잡기] 호기심, 검토력 | finals에만: [융합하기] 창의적 사고, 분석력"
career,B1R1,D,(없음),(없음),,동일
career,B1R2,D,검토 도메인: 자료판단력,(없음),,새 규칙에만: 자료판단력 | finals에만:
career,B1R3,D,검토 도메인: 검토력,(없음),,새 규칙에만: 검토력 | finals에만:
career,B2R1,C,(없음),(없음),,동일
career,B2R2,B,검토 도메인: 자료판단력,인간중심: [융합하기] 창의적 사고 / 도메인: 탐색력,,"새 규칙에만: 자료판단력 | finals에만: [융합하기] 창의적 사고, 탐색력"
career,B2R3,A,검토 도메인: 검토력,인간중심: [융합하기] 창의적 사고 / 도메인: 탐색력 / 도메인: 분석력,,"새 규칙에만: 검토력 | finals에만: [융합하기] 창의적 사고, 분석력, 탐색력"
career,B3R1,B,T2 도메인: 탐색력 / T2 인간중심: [융합하기] 창의적 사고,인간중심: [융합하기] 창의적 사고 / 도메인: 탐색력,,동일
career,B3R2,A,T2 도메인: 탐색력 / T2 인간중심: [융합하기] 창의적 사고 / 검토 도메인: 자료판단력,인간중심: [융합하기] 직관적 통찰 / 도메인: 탐색력 / 도메인: 분석력,,"새 규칙에만: [융합하기] 창의적 사고, 자료판단력 | finals에만: [융합하기] 직관적 통찰, 분석력"
career,B3R3,S,T2 도메인: 탐색력 / T2 인간중심: [융합하기] 창의적 사고 / 검토 도메인: 검토력,인간중심: [융합하기] 통합적 사고 / 도메인: 탐색력 / 도메인: 분석력,,"새 규칙에만: [융합하기] 창의적 사고, 검토력 | finals에만: [융합하기] 통합적 사고, 분석력"
career,C1R1,D,(없음),(없음),,동일
career,C1R2,D,검토 도메인: 자료판단력,(없음),,새 규칙에만: 자료판단력 | finals에만:
career,C1R3,C,검토 도메인: 검토력,인간중심: [성찰하기] 비판적 사고 / 도메인: 자료판단력,,"새 규칙에만: 검토력 | finals에만: [성찰하기] 비판적 사고, 자료판단력"
career,C2R1,D,(없음),(없음),,동일
career,C2R2,D,검토 도메인: 자료판단력,(없음),,새 규칙에만: 자료판단력 | finals에만:
career,C2R3,C,검토 도메인: 검토력,인간중심: [성찰하기] 윤리적 사고 / 도메인: 자기이해 / 도메인: 분석력,,"새 규칙에만: 검토력 | finals에만: [성찰하기] 윤리적 사고, 분석력, 자기이해"
career,C3R1,D,(없음),(없음),,동일
career,C3R2,D,검토 도메인: 자료판단력,(없음),,새 규칙에만: 자료판단력 | finals에만:
career,C3R3,C,검토 도메인: 검토력,인간중심: [성찰하기] 비판적 사고 / 도메인: 탐색력 / 도메인: 분석력,,"새 규칙에만: 검토력 | finals에만: [성찰하기] 비판적 사고, 분석력, 탐색력"
studyplan,A1R1,B,T1 인간중심: [중심잡기] 주체성 / T2 도메인: 학습력 / T2 인간중심: [융합하기] 문제해결적 사고,인간중심: [융합하기] 문제해결적 사고 / 도메인: 학습력,,새 규칙에만: [중심잡기] 주체성 | finals에만:
studyplan,A1R2,A,T1 인간중심: [중심잡기] 주체성 / T2 도메인: 학습력 / T2 인간중심: [융합하기] 문제해결적 사고 / 검토 도메인: 검토력,인간중심: [융합하기] 문제해결적 사고 / 도메인: 학습력 / 도메인: 검토력,,새 규칙에만: [중심잡기] 주체성 | finals에만:
studyplan,A1R3,S,T1 인간중심: [중심잡기] 주체성 / T2 도메인: 학습력 / T2 인간중심: [융합하기] 문제해결적 사고,인간중심: [융합하기] 문제해결적 사고 / 도메인: 학습력 / 도메인: 검토력,1,새 규칙에만: [중심잡기] 주체성 | finals에만: 검토력
studyplan,A2R1,B,T1 인간중심: [중심잡기] 주체성 / T2 도메인: 자료판단력,인간중심: [중심잡기] 주체성 / 도메인: 학습력,,새 규칙에만: 자료판단력 | finals에만: 학습력
studyplan,A2R2,B,T1 인간중심: [중심잡기] 주체성 / T2 도메인: 자료판단력 / 검토 도메인: 검토력,인간중심: [중심잡기] 주체성 / 도메인: 학습력,,"새 규칙에만: 검토력, 자료판단력 | finals에만: 학습력"
studyplan,A2R3,A,T1 인간중심: [중심잡기] 주체성 / T2 도메인: 자료판단력 / 검토 도메인: 학습력,인간중심: [중심잡기] 주체성 / 도메인: 학습력 / 도메인: 검토력,,새 규칙에만: 자료판단력 | finals에만: 검토력
studyplan,A3R1,B,T1 인간중심: [중심잡기] 주체성 / T2 도메인: 자기이해,인간중심: [성찰하기] 성찰적 사고 / 도메인: 학습력,,"새 규칙에만: [중심잡기] 주체성, 자기이해 | finals에만: [성찰하기] 성찰적 사고, 학습력"
studyplan,A3R2,A,T1 인간중심: [중심잡기] 주체성 / T2 도메인: 자기이해 / 검토 도메인: 검토력,인간중심: [성찰하기] 성찰적 사고 / 도메인: 학습력,,"새 규칙에만: [중심잡기] 주체성, 검토력, 자기이해 | finals에만: [성찰하기] 성찰적 사고, 학습력"
studyplan,A3R3,S,T1 인간중심: [중심잡기] 주체성 / T2 도메인: 자기이해 / 검토 도메인: 학습력,인간중심: [성찰하기] 성찰적 사고 / 도메인: 학습력 / 도메인: 검토력,,"새 규칙에만: [중심잡기] 주체성, 자기이해 | finals에만: [성찰하기] 성찰적 사고, 검토력"
studyplan,B1R1,D,(없음),(없음),,동일
studyplan,B1R2,D,검토 도메인: 검토력,(없음),,새 규칙에만: 검토력 | finals에만:
studyplan,B1R3,D,검토 도메인: 학습력,(없음),,새 규칙에만: 학습력 | finals에만:
studyplan,B2R1,C,(없음),(없음),,동일
studyplan,B2R2,B,검토 도메인: 검토력,인간중심: [융합하기] 문제해결적 사고 / 도메인: 학습력,,"새 규칙에만: 검토력 | finals에만: [융합하기] 문제해결적 사고, 학습력"
studyplan,B2R3,A,검토 도메인: 학습력,인간중심: [융합하기] 문제해결적 사고 / 도메인: 학습력 / 도메인: 검토력,,"새 규칙에만:  | finals에만: [융합하기] 문제해결적 사고, 검토력"
studyplan,B3R1,C,T2 도메인: 자료판단력 / T2 인간중심: [융합하기] 문제해결적 사고,(없음),,"새 규칙에만: [융합하기] 문제해결적 사고, 자료판단력 | finals에만:"
studyplan,B3R2,B,T2 도메인: 자료판단력 / T2 인간중심: [융합하기] 문제해결적 사고 / 검토 도메인: 검토력,인간중심: [융합하기] 직관적 통찰 / 도메인: 학습력 / 도메인: 자료판단력,,"새 규칙에만: [융합하기] 문제해결적 사고, 검토력 | finals에만: [융합하기] 직관적 통찰, 학습력"
studyplan,B3R3,A,T2 도메인: 자료판단력 / T2 인간중심: [융합하기] 문제해결적 사고 / 검토 도메인: 학습력,인간중심: [중심잡기] 적응성 / 도메인: 학습력 / 도메인: 검토력,,"새 규칙에만: [융합하기] 문제해결적 사고, 자료판단력 | finals에만: [중심잡기] 적응성, 검토력"
studyplan,C1R1,D,(없음),(없음),,동일
studyplan,C1R2,D,검토 도메인: 검토력,(없음),,새 규칙에만: 검토력 | finals에만:
studyplan,C1R3,D,검토 도메인: 학습력,(없음),,새 규칙에만: 학습력 | finals에만:
studyplan,C2R1,D,(없음),(없음),,동일
studyplan,C2R2,D,검토 도메인: 검토력,(없음),,새 규칙에만: 검토력 | finals에만:
studyplan,C2R3,C,검토 도메인: 학습력,인간중심: [성찰하기] 성찰적 사고 / 도메인: 자료판단력 / 도메인: 분석력,,"새 규칙에만: 학습력 | finals에만: [성찰하기] 성찰적 사고, 분석력, 자료판단력"
studyplan,C3R1,D,(없음),(없음),,동일
studyplan,C3R2,D,검토 도메인: 검토력,(없음),,새 규칙에만: 검토력 | finals에만:
studyplan,C3R3,D,검토 도메인: 학습력,(없음),,새 규칙에만: 학습력 | finals에만:
